手数1: 
手数2: 対象コメントの入力が「手数 2: 」のみで、具体的なコメント内容が空欄です。

そのため、出力は空行となります。

**出力:**

（空行）
手数3: 
手数5: 先手の順位戦の成績を見てみましょう。
手数6: 先手は角道をあけてきた。角換わりを拒否して矢倉を目指す狙いだろうか。
手数7: この対局の立会人は東京から務めているようだ。
手数8: システム上の話で恐縮だが、本局の中継ページのURL末尾は「10000.html」となっている。不戦局など、何らかの事情で抜け番があるはずなので、本局が記念すべき1万局目というわけではないだろう。時間のあるときに、過去の対局を振り返ってみるのも面白いかもしれない。
手数15: 戦型は横歩取りに進みました。後手は△８五飛戦法の創始者としても知られる棋士ですね。
手数18: △６二玉は比較的珍しい手と言えるでしょう。後手の作戦に注目したいところです。
手数20: 後手の代名詞とも言える△８五飛が出ました。もっとも、一般的な△８五飛戦法とはすでに趣が異なっているようです。
手数22: △４二銀と指した手までの消費時間は、先手が[先手の消費時間]、後手が[後手の消費時間]となっている。
手数24: ここで先手は考慮に入ったようです。消費時間は先手が〇分、後手が〇分（持ち時間は各〇時間）。先手の出前注文は「〇〇」（〇〇）、後手は「〇〇」（〇〇）です。
手数28: の着手。後手陣に金銀の浮き駒がなくなった。こうしておけば、３三角が動いた後に▲３二飛成の筋はない。後手の狙い筋のひとつには、△１五歩▲同歩△８八角成▲同銀に△５四角があるのだろうか。
手数29: 着手。▲２七歩までにかかった消費時間は、先手・後手ともに同程度といったところでしょうか。
手数34: 後手は美濃囲いに収まった。３筋と４筋にも同様の形の防壁がある。
手数35: ８五飛型は▲７七桂が常に飛車取りとなる手だ。もっとも、この場合は後手も玉と飛車が接近している懸念を解消できるという面がある。
手数39: 先手は1歩を犠牲に飛車を転換してきました。横歩取りは序盤に先手が1歩得をする戦型なので、1枚駒を渡しても駒割りは互角という判断でしょうか。
手数41: 先手は馬を作りに行きました。これは後手にとっては受けにくい攻めになりそうです。
手数42: 「▲１五同歩には△１七歩と応じる手があるだろうか。以下、（１）▲１七同香ならば△１八歩、（２）▲１七同桂ならば△１六歩▲同飛に△１五飛（あるいは△１五香）といった進行が考えられる。」
手数43: １筋を素直に応じず、９筋から反発しました。互いに２歩を持った端攻めですが、手番は後手ながら、自玉と端の距離が近いのは後手の方です。９筋を手抜くのは相当なリスクを伴うでしょう。
手数45: △１六歩には▲１二歩という手があります。これで後手は動き方が難しくなったのではないでしょうか。
手数46: 玉の力で８筋と９筋を補強した。
手数50: 後手の好位置の馬に働きかけます。▲６六馬と引いたことで後手は指しやすそうですが、終盤戦で▲５六歩が切り札になる可能性を秘めています。
手数55: ここで後手は昼食休憩に入りました。ここまでの消費時間は、先手が[先手の消費時間]、後手が[後手の消費時間]となっています。先手の注文は「にぎり上」、後手は「カツ丼、肉少なめ」とのことです。
手数58: 先手には▲９六飛や▲９二歩成など、様々な攻めの組み合わせが考えられそうです。６六の馬も手厚く、先手ペースと見て良いでしょう。
手数59: △９四銀▲同飛△９三香には、▲８四飛で問題ないだろう。
手数62: この手の効果はまだ不透明だ。先手はここで時間を使い熟考しているようだ。
手数67: ▲５二飛成と先手が一気に踏み込みました。60手目の後手の△９五歩を、先手がうまく逆用した形になったでしょうか。
手数69: 先手は飛車を五段目に置いておけば、手番が回ってきたときに▲７五歩が厳しくなるでしょう。一方、後手は７四飛と８四銀の捌き方が見えていないようですね。
手数70: 辛抱の一手が出ました。玉頭のキズを消しに行ったようです。
手数71: いよいよ後手玉の攻略にかかる局面です。△９三同香には▲９四歩、これに△同香と取らせて▲８六桂が厳しそうに見えます。
手数73: △９三同銀に対しても▲８六桂が厳しいですね。後手の飛車の処置は限られているようです。
手数75: 先手は７筋から９筋にかけて歩が立っており、攻めの手段には困らないだろう。さらに▲８五桂の攻め筋も残されている。
手数79: 後手は1筋から4筋にかけての駒が働いていないのが苦しい展開だ。
手数80: 馬取りで香を設置した。先手玉のコビン攻めまで見ている手だろう。
手数82: ▲９三同馬で寄せが成立するのでしょうか。それとも、馬を逃げるのが冷静な一手となるのでしょうか。
手数83: 長考の末、馬を逃がした。
手数85: 先手は相手の攻めをしのぐ方針のようですね。
手数88: ▲９四歩を打たれる前に香車を成り込んだ一手だ。
手数91: 依然として先手優勢だ。駒の働き、玉の堅さ、いずれも先手に分がある展開と言えるだろう。
