先手: 武市 三郎六段
後手: 藤倉 勇樹四段
手数 1: 筋違い角が得意な武市だが、本局は初手に居飛車を明示した。
手数 12: 藤倉は中飛車に構える。８手目△４二銀に１８分考えていたので、そこで作戦を決めたのだろう。
手数 20: １１時の局面。消費時間は武市１５分、藤倉３０分。
手数 27: 武市は左美濃。
手数 28: △３二飛の局面で武市が５分考えて昼食休憩に入った。消費時間は武市４３分、藤倉１時間１２分。
藤倉は三間飛車に振り直して４一の金を使いやすくした。
手数 35: 銀冠に構える。
手数 40: １４時過ぎの局面。消費時間は武市１時間１２分、藤倉１時間２７分。
藤倉も銀冠に構える。
手数 45: 桂を跳ねると陣形が薄くなるが積極的。
手数 46: 藤倉は現代流に４枚に囲う。
手数 49: １５時半の局面。消費時間は武市２時間１７分、藤倉１時間５９分。
手数 50: 藤倉は４枚穴熊に囲った。
手数 51: １６時半の局面。消費時間は武市２時間４９分、藤倉２時間。▲５八飛は３２分の長考。武市は互角のさばき合いでは堅さ負けしているため不利になる。押さえ込みに行きたい。
手数 56: 突き違いの手筋で受ける。
手数 58: １７時半ごろの局面。消費時間は武市３時間１分、藤倉２時間５９分。
手数 59: ３４分の長考。
手数 63: ▲３五歩の局面で藤倉が４分考えて夕食休憩に入った。消費時間は武市３時間４１分、藤倉３時間６分。
手数 66: ２０時の局面。消費時間は武市３時間５７分、藤倉３時間３８分。
手数 70: ２１時ごろの局面。消費時間は武市４時間１４分、藤倉４時間１２分。
手数 74: ２２時ごろの局面。残り時間は武市１時間１２分、藤倉１時間１４分。
手数 79: △４七飛成は▲１一角成〜▲２一馬〜▲５五桂が厳しいので良しと見ているのだろうか。
手数 80: ６２手目△５四飛の局面と比べると、後手は△８二角しか指していないことになる。
手数 82: ２２時５０分ごろの局面。残り時間は武市３１分、藤倉１時間４分。
手数 86: 藤倉、一人千日手のように駒が行ったり来たりを繰り返す。
手数 87: 武市、決断の一手。武市の残りは１９分となった。
手数 91: ２３時半ごろの局面。残り時間は武市１７分、藤倉１時間３分。「馬は自陣に引け」
手数 92: △８五歩と駒をぶつけていく手がある。堅さは後手が勝るので、このような手も生じる。
手数 97: 武市は残り３分。
手数 100: 寄せ合いは堅さが生きる。
手数 103: ０時ごろの局面。残り時間は武市２分、藤倉３３分。
手数 104: 先手の陣形が乱れてきた。
手数 114: 厳しいカウンターパンチ。△６六角▲同馬△７八金以下詰む。
手数 115: １分将棋になるまで考えたが。
手数 118: 以下は▲９七玉△８六銀▲同玉△８五歩で詰む。武市の投了となった。終局時刻は０時４１分。消費時間は武市５時間５９分、藤倉５時間５２分。勝った藤倉は４勝２敗、敗れた武市は１勝５敗となった。
