先手: 北島 忠雄六段
後手: 日浦 市郎七段
手数 10: 通常の角換わりになった。
手数 17: 角換わりには腰掛け銀、早繰り銀、棒銀が三すくみの関係にある。ジャンケンと同じだ。先手は、後出しジャンケンのように、相手が何を出すかによって自分の作戦を選択したい。そこで、端歩を突いて様子を見ている。
手数 18: 後手も態度を決めない。
手数 19: 先手は腰掛け銀模様。
手数 26: 後手も腰掛け銀となった。後手の棒銀は近年見かけなくなった。
手数 38: 先後同形。戦後間もない頃からある形だが、まだ未解決の分野。将棋の奥深さを物語る戦形だ。
手数 39: ノータイムの仕掛け。互いに予定通りとはいえ、進行が早い。
手数 41: 角換わり腰掛け銀では頻出の手筋。△同歩なら▲４五桂△４四銀▲２四歩△同歩▲２二歩△同金▲２四飛△４五銀右▲同銀△同銀▲２三歩で先手有利。途中△４四銀で△４二銀なら▲４四角が受けにくい。
手数 42: 日浦は攻め合いを狙う。
手数 44: １０時４５分の局面。消費時間は北島２５分、日浦１分。日浦の研究手順なのだろう、指し手が早い。△６五歩を入れずに、△４四銀だと、▲１五歩△同歩▲７五歩△同歩▲２四歩△同歩▲同飛△２三歩▲２六飛（▲２九飛）の進行になったとき、後手から△６五歩と反撃する余裕がない。そこで、前もってアヤをつけておき、▲７五歩としたらすぐに△６五桂と反撃する手を用意しているのが本譜の指し方となる。
手数 45: １時間１４分の長考。次の▲１五歩を突き捨てるかどうかや▲１五歩が入るかどうかを考えていたのだろう。
手数 48: △１五同歩の局面で北島が１２分考えて昼食休憩に入った。消費時間は北島１時間５１分、日浦１分。
手数 49: 再開後すぐに指された。手筋の一着。△同香ならそこで、▲２四飛△２三歩▲２九飛として▲２五桂や▲１二歩（△２二玉は▲１一角で王手銀取り）が楽しみとなる。
手数 50: 日浦は手抜いて攻め合い。
手数 51: １４時頃の局面。消費時間は北島２時間１１分、日浦１分。日浦が長考しているようだ。
手数 52: 日浦、５８分の長考。
手数 53: １５時の局面。消費時間は北島２時間３７分、日浦５９分。
北島はさらに２６分の考慮。
手数 54: ２９分の考慮で歩を突き捨てる。▲同歩ならいつでも△６三金として角が取れる形になる。
手数 55: さらに２７分の考慮。北島は３手連続で２０分以上考えている。膨大な変化があるのだろう。
手数 56: あたりを強くするための打ち捨て。
ここで、△１三香は▲１四歩△同香▲２四飛で困る。後手は手を戻すとかえって攻めが厳しくなる。
手数 57: １６時の局面。消費時間は北島３時間２０分、日浦１時間３２分。
▲同金では壁になる。
手数 58: 持ち歩が多い日浦は端も攻めていく。
手数 60: １７時１５分の局面。消費時間は北島３時間２６分、日浦２時間６分。日浦も端にアヤをつける。▲同香は△９六歩▲同香△８五角の筋が狙いか。
手数 61: ▲６四歩の局面で日浦が１４分考えて夕食休憩に入った。消費時間は北島４時間３６分、日浦２時間２０分。▲６四歩に１時間１０分の長考。手を渡して後手から動いてもらう。また、△７三角▲６四歩△９五角の筋の予防にもなっている。
手数 62: 夕食休憩を挟んで４０分の長考。
手数 63: ついに先手から攻めていく。
手数 67: 力を一気に爆発させたような攻め。△３五銀は▲３三歩△同金▲４五桂がある。部分的には受けがない。
手数 68: ２０時の局面。消費時間は北島４時間５３分、日浦２時間５６分。北島は残り１時間７分となっている。
次に△６九角の筋が厳しい。
手数 69: ガツンと音が出そうな受け駒のぶつけ。飛車の横利きを通して味がいい。
手数 70: ３２分の考慮。
手数 71: ２１時の局面。残り時間は北島１時間２分、日浦２時間３２分。△５五角は▲７七角△３七角成▲４四桂で先手一手勝ちだろうか。
手数 72: 味のいい活用で本筋の将棋の日浦らしい指し方。銀にひもをつける。
手数 74: 攻防の王手。
手数 76: 角のラインを消せば、後手は安泰。
手数 77: 角が使えなくなってしまった。
手数 78: ２２時の局面。残り時間は北島４８分、日浦１時間３７分。
手数 84: 角銀が受けに良く利いていて、歩切れの先手には手段がない。
手数 92: ▲同金と取る位だが、△２八角成が次の△７五飛を見て激痛。北島は４分考えて投了した。終局時刻は２２時５３分。消費時間は北島５時間５３分、日浦４時間３９分。勝った日浦は６勝３敗、敗れた北島は５勝４敗となった。
