先手: 武市 三郎六段
後手: 有吉 道夫九段
手数 7: 武市得意の中飛車。
手数 23: 武市は昔から角交換をする力戦調の中飛車を愛用している。
手数 34: △３五歩の局面で武市が３１分考えて昼食休憩に入った。消費時間は武市が１時間２３分、有吉が３５分。
手数 36: ビシッとした手つきで金を上がり、囲いを完成させる。
手数 38: 手厚い銀立ち矢倉は有吉好みの囲い。
手数 39: ▲７七桂の活用も見せた一手。
手数 40: ▲６六銀をみてすかさず歩交換を狙う。
手数 43: 飛車がいなくなったすきに乗じて、と金作りを狙う。
手数 44: １４時３０分の局面。消費時間は武市が２時間１８分、有吉が５９分。
手数 45: 大長考の末に角を打ち込む。あくまでと金作りを目指す。
手数 51: ８筋に歩を受けることなく、局面のポイントを上げる。
手数 54: 文字通りのノータイム。
手数 56: 固い玉形でガンガン攻める「火の玉流」の面目躍如。ただ、攻め駒不足が心配。
手数 58: １６時３０分の局面。消費時間は武市が４時間４分、有吉が１時間１７分。
手数 60: 攻防の角打。
手数 75: 攻防の角打ち。▲３二銀成以下の詰めろだ。
手数 76: △４五歩の局面で武市が３２分考えて夕食休憩に入った。残り時間は武市が４７分、有吉が４時間２０分。
△４五歩は「大駒は近づけて受けよ」の手筋。
手数 77: 夕食休憩を挟む、６８分の長考。武市の残り時間１２分に。
手数 85: 武市はここから一分将棋になっている。
手数 86: こうなると、後手の攻めが調子がいいか。
手数 87: 上部脱出を図る。
手数 88: 上部脱出はゆるさない。
