先手: 中村 修八段
後手: 南 芳一九段
手数 22: 南特有の序盤作戦。居飛車も振り飛車もありえる形だ。
手数 23: 中村修は相手が居飛車でも振り飛車でも対応できるように駒組みを進めている。相手が居飛車なら矢倉、振り飛車なら左美濃に組める。
手数 27: １１時頃の局面。ここまでの消費時間は▲中村修２２分、△南１５分。
手数 28: 南、中飛車を採用。
手数 34: この局面で中村修が２３分考えて昼食休憩に入った。ここまでの消費時間は▲中村修４７分、△南１時間７分。
手数 35: 先手も左美濃が完成し、一安心。
手数 39: １４時頃の局面。ここまでの消費時間は▲中村修１時間１分、△南１時間１０分。
手数 45: １５時頃の局面。ここまでの消費時間は▲中村修１時間４０分、△南２時間５分。
手数 48: 全面戦争に突入した。
手数 53: １６時頃の局面。ここまでの消費時間は▲中村修１時間５８分、△南２時間１８分。
手数 65: この局面で南が１６分考えて夕食休憩に入った。ここまでの消費時間は▲中村修２時間３９分、△南４時間８分。
手数 73: ２０時頃の局面。ここまでの消費時間は▲中村修２時間５５分、△南４時間１６分。
手数 89: ２１時過ぎの局面。消費時間は▲中村３時間２３分、△南５時間１２分。
手数 90: ２１分考え、金を取った。
手数 95: ２２時頃の局面。ここまでの消費時間は▲中村４時間７分、△南５時間３３分。
手数 112: この局面で中村修は２８分考え、次の手を指さずに投了した。消費時間は▲中村修４時間５５分、△南５時間５４分。勝った南は４勝４敗、敗れた中村修は５勝３敗となった。
