先手: 先崎 学八段
後手: 屋敷 伸之九段
手数 25: １１時３０分の局面。消費時間は先崎５１分、屋敷２８分。
手数 29: 銀冠から穴熊に組み替える。この指し方が出てきて、対振り穴の作戦の幅が広がった。
手数 31: ▲９九玉の局面で屋敷が１０分考えて昼食休憩に入った。消費時間は先崎５７分、屋敷５８分。
手数 33: １３時半頃の局面。消費時間は先崎１時間２４分、屋敷５９分。
手数 34: 飛車を転換。ただ、すぐに△７五歩▲同歩△同飛は▲２四歩から▲２二歩の筋が生じるため成立するかは微妙。
手数 36: 決断の仕掛け。▲２四歩の筋は先手の６九金が離れているので大丈夫とみたのだろう。
手数 39: 一回は締まる。
手数 40: これで▲２四歩〜▲２二歩の筋はなくなった。
手数 50: 一目散に銀が出てきて８七の銀と交換。次の一手は相当手広そうだ。
消費時間は先崎３時間４１分、屋敷３時間１３分。
手数 53: ガッチリ埋める。後手だけ銀を持つ展開になるため指しにくいが、先手は飛車角の自由度が高く、攻めの形に困ることはなさそうだ。
手数 55: 伸び伸びと。後手は手の作り方が難しい。
手数 60: ▲７六銀引なら△４五飛。ここは慎重な指し手が求められそうだ。
手数 69: ▲４四角を楽しみに、しばらく受けに回る。
手数 75: 次に▲３五飛〜▲２二歩が入れば先手優勢。屋敷はここで手を作りたい。
手数 82: 脅威の辛抱。狙いは△７四歩だが、その手を見せて攻めを催促する意味合いが強そうだ。
手数 87: ひたすら手厚く。
手数 100: ２３時半過ぎ。依然として大きな動きはない。
