先手: 西尾 明四段
後手: 矢倉 規広六段
手数 1: 本局は矢倉が６分遅刻したため、１０時７分に対局を開始している。
手数 2: 矢倉は６分遅刻×３＝１８分を持ち時間から引かれている。２手目△３四歩は「２３分」と記録されているので、２３−１８＝５分、この一手に考えていることになる。
手数 8: 後手は矢倉模様の出だし。しかし矢倉自身は振り飛車党なのでここから飛車を振る可能性もある。
手数 12: 矢倉の作戦は、三間飛車。
手数 16: １１時頃の局面。ここまでの消費時間は▲西尾１６分、△矢倉４０分。
手数 20: この局面で西尾が３８分考えて昼食休憩に入った。ここまでの消費時間は▲西尾１時間１７分、△矢倉５２分。
手数 21: △４五同歩なら▲３三角成〜▲２四歩と飛車先を突破する狙いだ。
手数 24: １４時過ぎの局面。ここまでの消費時間は▲西尾１時間３７分、△矢倉１時間２６分。
手数 27: △３二金と固められるとすぐには攻められない。一旦自陣を整備する。
手数 29: １５時半頃の局面。ここまでの消費時間は▲西尾２時間４５分、△矢倉１時間５２分。
手数 30: ５４分考えて端を受けた。消費時間は▲西尾２時間２５分、△矢倉２時間４８分。
手数 32: １７時過ぎの局面。ここまでの消費時間は▲西尾２時間５０分、△矢倉３時間９分。
手数 40: この局面で西尾が１１分考え、夕食休憩に入った。ここまでの消費時間は▲西尾３時間３３分、△矢倉３時間３５分。
手数 46: ２０時過ぎの局面。ここまでの消費時間は▲西尾３時間５１分、△矢倉４時間５分。
手数 53: ２１時頃の局面。ここまでの消費時間は▲西尾４時間３２分、△矢倉４時間１６分。
手数 76: ２２時頃の局面。ここまでの消費時間は▲西尾４時間５１分、△矢倉４時間４６分。
手数 77: 西尾はここで２３分考え、残り４６分。
手数 78: ここで５分考えた矢倉も、残り１時間を切った（５９分）。
手数 81: ２２時４０分頃の局面。ここまでの消費時間は▲西尾５時間２１分、△矢倉５時間５分。
手数 87: ▲７四桂打△同歩▲同桂と攻める狙い。美濃囲い攻略の常套手段だ。
手数 91: ２３時半頃の局面。残り時間は西尾８分、矢倉３０分。
手数 107: この局面で矢倉が投了した。投了図以下、△７一同玉は▲５一飛成△６一合駒（何でも）▲７一銀以下、△９二玉は▲８二金△９三金▲８五桂以下、△９三玉は▲８五桂以下の即詰み。
消費時間は▲西尾５時間５８分、△矢倉５時間５２分。勝った西尾は４勝５敗、敗れた矢倉は３勝６敗となった。
