先手: 岡崎 洋六段
後手: 西川 和宏四段
手数 9: 早くも岡崎が突っかけた。この局面で仕掛けた例はない。
手数 14: 西川は攻められた筋に飛車振る自然な差し回し。
手数 15: 岡崎は右四間飛車に。
手数 16: ２２時頃の局面。ここまでの消費時間は▲岡崎４時間２２分、△西川４時間２２分。
手数 24: ２２時５０分頃の局面。ここまでの消費時間は▲岡崎５時間９分、△西川４時間４１分。
手数 26: 西川は美濃囲いに囲って一安心。
手数 27: 岡崎は単騎で桂を跳ねていった。
手数 33: ▲２五桂と跳ね出せばここまでは騎虎の勢い。
手数 34: ▲４四同飛には△５五角がある。
手数 35: 岡崎はそれでも取った。
手数 39: 岡崎はこの時の飛車取りの先手に期待したのだろう。
手数 41: この手を怠ると△４七飛が角金両取り。
手数 49: 一段落着いたところで駒割りは後手の桂得。手番は後手。玉も後手の方が堅い。これだけをみると後手が良さそうだが、飛車が片隅でたたずんでいるので、いい勝負であろうか
手数 52: 西川は２一の桂馬に紐をつけながら、急所に馬を作った。
手数 57: △４二飛のぶっつけを防ぎながら、２一の桂取りになっている。
手数 61: 桂損の上、ここに銀を使うようでは先手辛いか。
手数 64: 西川は６六の角を外して２二の銀を抜きにかかった。
手数 67: ０時２５分頃の局面。ここまでの消費時間は▲岡崎５時間４８分、△西川５時間２３分。
手数 72: 控え室からは「ひえー、西川さんらしい」の声。
手数 76: 抜群の味の桂跳ね。飛車が一気に働いてきた。
手数 80: １時過ぎの局面。ここまでの消費時間は▲岡崎５時間５８分、△西川５時間４２分。
手数 90: この局面で岡崎の投了となった。投了図から先手は攻防共に見込みがなく、投了もやむを得ない。
終了時刻は１時１２分。消費時間は▲岡崎５時間５８分、△西川５時間４３分。勝った西川は２勝１敗、敗れた岡崎は０勝３敗となった。
