先手: 西尾 明四段
後手: 中村 太地四段
手数 12: 四間飛車党の中村太だが、工夫の出だし。
手数 13: ▲７八玉では居飛車の可能性もある。▲７八銀は後手に居飛車にされたときに、▲７八玉よりも一手早く玉頭の守りができるようにするのと、振り飛車にされても美濃囲いに囲う余地を作っている。
手数 16: これで、振り飛車の可能性は少なくなった。
手数 17: 四間飛車の可能性が減ったので、矢倉に組むつもりだ。
手数 18: 中村太の作戦は袖飛車。藤井システムで袖飛車に戻す構想があるが、本譜はそれよりも一手得している意味がある。
手数 21: １１時頃の局面。消費時間は西尾４３分、中村太１９分。
手数 22: 駒組みもそこそこに歩の交換。攻めの棋風の中村太らしい。
手数 33: ▲４六銀の局面で中村太が９分考えて昼食休憩に入った。消費時間は西尾１時間１０分、中村太４４分。
中央からの攻めを見せる。端歩の２手を緩手にさせたい西尾。
手数 39: 次に▲５五銀△５四歩▲６六銀引となれば理想的。
手数 40: ▲５五銀には△６五桂や△５七歩の筋を用意。
手数 44: １５時１５分の局面。消費時間は西尾１時間４８分、中村太１時間５９分。
手数 48: 中村太、まだ囲いが完了していないが、若者らしく動いていく。
手数 50: １７時頃の局面。消費時間は西尾２時間１６分、中村太２時間２２分。
手数 58: △６四同飛の局面で西尾が１４分考えて、夕食休憩に入った。消費時間は西尾３時間５５分、中村太２時間５６分。
こうなれば、駒がさばけた後手の主張が通った形。あとは△３一玉〜△２二玉となれば完璧だ。先手はそれまでに代償を得ないといけない。
手数 59: ▲６五歩では△７四飛で「先の後」になってしまう。▲６五金から飛車を抑えて、中央を制圧したい。
手数 78: 飛車と金桂の２枚換え。
手数 79: ▲７一飛を見せつつ香取り。
手数 82: 厳しい合わせ歩。先手は頭が急所。
手数 83: ２２時１５分頃の局面。残り時間は西尾１時間、中村太１時間５分。
攻防に打って攻めを緩和しようとする。
手数 84: 強気。▲２一飛成は△３一金から竜が詰む。
手数 86: 大きな取り込み。
手数 89: ２３時前の局面。残り時間は西尾４６分、中村太１時間２分。
手数 98: もっさり迫っていく。
手数 102: サッと逃げ道を開く。
手数 108: 冷静な早逃げ。
手数 112: 先手に適当な手段がなく西尾の投了となった。終局時刻は０時１８分。消費時間は西尾５時間５１分、中村太５時間５０分。勝った中村太は４勝４敗、敗れた西尾は３勝５敗となった。
