先手: 室岡 克彦七段
後手: 東 和男七段
手数 5: 相掛かりも得意な室岡だが、最近は振り飛車が多い。
手数 24: 急戦策の中でも、現在はこの右銀急戦が一番流行している。もっとも、単純に急戦にするのでなく、振り飛車の駒組みを見て持久戦策を採ることも多い。後出しジャンケンのような要領だ。４六の歩をこの銀で狙う展開になりやすいのが後手のねらい目だ。
手数 25: 戦いの起こる場所に飛車を振る。振り飛車の基本。
手数 27: ▲２八玉の局面で東が２１分考えて昼食休憩に入った。消費時間は室岡が９分、東が１時間４７分。
手数 28: 一手ためる。
手数 32: △７二飛は▲６五歩△７七角成▲同飛のときに△５五銀と出れないのでつまらない。７筋を押さえて、７四銀型の好形を組むのが東の狙い。
手数 34: １４時の局面。消費時間は室岡が２３分、東が２時間３分。
手数 35: ４０分の長考で角を引く。他には▲７六歩と位を奪還する手が考えられる。
手数 37: 次に▲７六歩と合わせる手を狙う（△６六角と出れない）。
手数 38: 飛車も使って、７筋を支える。
手数 39: 角筋から避ける、振り飛車を指すなら必須手筋。
手数 41: １５時ごろの局面。消費時間は室岡が１時間３６分、東が２時間３分。
手数 42: ４８分の長考で銀を上がり、中央に厚みを作る。
手数 45: １６時１５分ごろの局面。消費時間は室岡が１時間５４分、東が２時間５１分。
手数 46: ３９分の長考。
手数 47: この瞬間が怖いが、銀冠に組めればかなりのアドバンテージとなる。
手数 48: 見過ごすわけには行かない。
手数 52: △６二金の局面で室岡が１７分考えて夕食休憩に入った。消費時間は室岡が３時間４分、東が３時間５１分。
手数 57: 互いに細かい動きでポイントを稼ごうとする。
手数 62: 焦点の歩。▲同角なら△６六角から△５七銀を狙っているのだろう。
手数 64: と金は大きい。
２０時３０分の局面。残り時間は室岡が２時間１０分、東が１時間２７分。
手数 65: 高美濃でなく、銀冠まで囲いが発展しているので、と金が遠い感じになっている。
手数 66: ２１時３０分前の局面。残り時間は室岡が２時間４分、東が１時間７分。
手数 67: ４７分の長考。
手数 75: 飛車取りを催促。駒の交換することでさばく。
手数 78: ２２時の局面。残り時間は室岡が１時間５分、東が１時間６分。
手数 79: 舟囲い破りの桂打ち。▲３四桂となると受けにくい。
手数 80: ５１分の大長考。
手数 81: この銀もさばけて振り飛車好調子。
手数 85: 強打。△同歩なら▲５三銀成から▲８七角！
手数 87: ここの金をはがせば、玉が薄くなる。
手数 90: 残り時間は室岡２９分、東１０分。
手数 91: 詰めろの飛び出し。
手数 93: またも強打。取れば▲３三角成から詰む。
手数 94: 懸命にこらえるが。
手数 95: 残り時間は室岡１９分、東１０分。
いまだ、飛車取り。
手数 97: この手が▲３三角成以下の詰めろでは勝負あったか。
手数 99: 受けても一手一手の寄せとあって、東は投了した。終局時刻は０時１３分。消費時間は室岡５時間５１分、東５時間５２分。
