先手: 室岡 克彦七段
後手: 伊奈 祐介六段
手数 17: 藤井システムは室岡の得意戦法。
手数 24: 定跡化された急戦。
手数 31: 金の力で反発する。
手数 32: １０時５０分ごろの局面。消費時間は室岡１９分、伊奈９分。
手数 42: △４四同角の局面で室岡が１２分考えて昼食休憩に入った。消費時間は室岡１時間２分、伊奈４８分。
手数 43: ここまで６月に行われたＡ級順位戦の▲藤井猛九段―△谷川浩司九段戦と同じ進行（谷川勝ち）。研究家として知られる室岡はどのような新手を用意しているのだろうか。
手数 44: 先に手を変えたのは伊奈の方だった。谷川九段は△３五角と攻めていた。
以前の対局で勝っていた側が相手の研究を警戒したり、これまで以上に良い手を用意して手を変えるのはプロの将棋ではよくあることだ。
手数 45: １４時の局面。消費時間は室岡１時間３４分、伊奈１時間９分。
手数 47: １５時過ぎの局面。消費時間は室岡１時間５９分、伊奈１時間５５分。
手数 48: ▲５四金の当たりを避ける角引き。
手数 50: １６時２０分ごろの局面。消費時間は室岡２時間１３分、伊奈２時間２８分。
手数 52: １７時３０分ごろの局面。消費時間は室岡３時間１５分、伊奈２時間３１分。
手数 57: ▲７四金の局面で伊奈が１１分考えて夕食休憩に入った。消費時間は室岡４時間１２分、伊奈２時間４２分。
手数 58: ▲７五飛と取られるよりも、１手かけても金で取らせた方が先手の駒が重くなっている。
手数 68: ２０時１５分の局面。消費時間は室岡４時間３９分、伊奈３時間２１分。
手数 80: ２１時１５分の局面。消費時間は室岡５時間２分、伊奈３時間４０分。
手数 94: バッサリ行った。
手数 96: ２２時ごろの局面。残り時間は室岡１７分、伊奈２時間１５分。
手数 104: ここで室岡の投了となった。以下▲同桂△１七銀で詰む。終局時刻は２２時１０分。消費時間は室岡５時間４８分、伊奈３時間４９分。勝った伊奈は１勝１敗、敗れた室岡は０勝２敗となった。
