先手: 田丸 昇八段
後手: 平藤 眞吾六段
手数 2: 平藤は気を高めるためか△３四歩に３分使った。
手数 4: １０分の考慮で飛先を突く。
手数 5: １０時４５分の局面。消費時間は田丸１０分、平藤１３分。先後を入れ替えたような形になった。
手数 6: 平藤は△８五歩に２３分の考慮。
手数 7: ▲５八飛ならおなじみの「ゴキゲン中飛車」だが、田丸はこの中央位取りが得意。
手数 12: 近年では△８二飛と穏やかに引くことが多いが、平藤は強く横歩を取った。こうなると激しい戦いも含みになる。
手数 17: 昔は▲２二角成△同銀▲７七角△８九飛成▲２二角成…の進展が多かった。これは中飛車が不利。この▲５四同飛が中飛車側の工夫。
手数 18: △５二歩もあるが、進展性に問題がある。
手数 19: ▲４八玉の局面で平藤が３９分考えて昼食休憩に入った。消費時間は田丸４２分、平藤１時間２０分。
田丸は▲４八玉に２０分の考慮。後手はどのタイミングで△８二飛や△４二玉とするか。今、△４二玉と上がると▲９六歩の端歩突きを生かして、▲９七角でしびれる。そこで、△８二飛としてから△４二玉としたいが、△８二飛には▲７七桂からひねり飛車風に指されるかも知れない。互いに構想力が問われるところ。
手数 20: 昼食休憩を挟んで５７分の長考。
手数 21: 田丸は１７分考えて穏やかに歩を受けた。
手数 24: １４時頃の局面。消費時間は田丸１時間６分、平藤１時間５６分。△２二銀で△４五角が見えるが、▲５五飛△２七角成▲２五飛△５四馬▲２三飛成△２二歩▲３四竜となって失敗する。
手数 25: ５９分の長考。取れば▲５五角。
手数 26: １５時の局面。消費時間は田丸２時間５分、平藤１時間５６分。
手数 27: 角による王手の筋があるので、それを避ける。これで強い戦いも大丈夫。
手数 28: 平藤は浮き駒を消して自然流。
手数 31: 数手前に比べて、後手の右銀が７三へ動いた分だけ手損したように見えるが。
手数 32: ▲５四歩と垂らされるとうるさそうだ。金持ちけんかせずの精神。これで持久戦になれば、一歩得の後手が作戦勝ちになりそうだ。
手数 33: １６時の局面。消費時間は田丸２時間５４分、平藤１時間５９分。
先手はできるだけ急いで攻めたい。
手数 36: 「居玉は避けよ」
手数 37: 取れば、▲６五歩△７五銀（△７三銀▲５四歩△同歩▲７五角）▲９七角が厳しい。
手数 41: １７時の局面。消費時間は田丸３時間、平藤２時間２５分。
手数 44: 大きな位取り。
手数 46: ４２分の長考で更なるポイントを稼ぎに行く。
手数 50: △５五銀右の局面で田丸が２６分考えて夕食休憩に入った。消費時間は田丸３時間３７分、平藤３時間２２分。
ツッパリ流のお株を奪う銀出。▲５六歩で銀が詰んでしまうが、△６六銀▲同金△６八角のような攻めを考えているのだろうか。
手数 51: 田丸は飛車成を受けつつ、５三に狙いをつけた。
手数 56: 銀の取り合いは後手有利。
手数 57: ２０時の局面。消費時間は田丸３時間４８分、平藤４時間４分。
手数 58: 厳しい。▲同銀は△６七角成で二枚換え。
手数 59: 辛抱するが。
手数 62: 後手が優位を拡大。
手数 65: 銀を見捨てて勝負。
手数 66: ２１時の局面。消費時間は田丸４時間１８分、平藤４時間２５分。
手数 90: ２２時１５分頃の局面。残り時間は田丸５８分、平藤１時間１４分。
手数 96: 先手は△３八と以下の詰めろ。一方後手は詰みがなく田丸の投了となった。消費持間は田丸５時間１０分、平藤４時間５９分。勝った平藤は７勝２敗、敗れた田丸は２勝７敗となった。
