先手: 山崎 隆之七段
後手: 松尾 歩六段
手数 1: なんと初手に３３分の長考。この１局にかかっている意味を物語る時間だ。
手数 2: 松尾はノータイムで△８四歩と突いた。１０時４０分の局面。
手数 3: さらに９分使う。
手数 21: 相掛かりの引き飛車棒銀になった。
手数 22: 第６５期名人戦第５局のように△５二玉と中住まいにする形や△１四歩から△３五歩としてひねり飛車にする構想もある。ここは作戦の岐路と言える。
手数 23: 右桂が使えない形になるが、銀の力で後手に十分な駒組みを許さないのがこの作戦の骨子。場合によっては桂馬を１七へ使うケースもある。
手数 30: １１時４０分の局面。消費時間は山崎５３分、松尾３２分。
手数 31: ６九玉型の場合は本譜のように▲６六歩と止める場合が多い。６八玉型の場合は▲６六角と上がり、角交換の将棋になりやすい。わずかの違いが大違い。
手数 34: △５四歩の局面で山崎が１６分考えて昼食休憩に入った。消費時間は山崎が１時間２２分、松尾が３４分。
手数 36: １３時半の局面。消費時間は山崎１時間４１分、松尾３９分。
手数 39: 穏やかな駒組みが続く。
手数 41: １４時半の局面。消費時間は山崎２時間９分、松尾１時間８分。山崎は頬をぷくーっと膨らませていた。
手数 43: １５時半の局面。消費時間は山崎２時間３８分、松尾１時間３８分。
手数 47: １６時半の局面。消費時間は山崎２時間４８分、松尾２時間１４分。
手数 49: 思い切った仕掛け。
手数 52: ３４分の長考で取る。
手数 53: １７時半の局面。消費時間は山崎２時間５７分、松尾３時間１４分。
手数 55: ▲７七角の局面で松尾が２２分考えて夕食休憩に入った。消費時間は山崎が２時間５７分、松尾が３時間５８分。
手数 56: 局面が落ち着けば銀冠は大きい。
手数 57: 仕掛けたのはこの手に期待していたからのようだ。△５二銀は▲５六銀と出て行く。「△５二銀は松尾君の手じゃないね」と田村六段。
手数 58: １２分の考慮で玉を寄った。
手数 60: ▲６二とを消す。
手数 61: １９時４５分の局面。消費時間は山崎３時間２２分、松尾４時間１１分。
と金ができて先手好調を思わせるが、形勢は難解と言われている。と金の活用が難しいこと、先手はうかつな攻めに出ると反動がキツイことがその理由だ。
手数 62: 銀冠の中に玉が納まった。
手数 63: △同角は▲４五歩△同歩▲同銀の攻めが厳しくなりそうだ。
手数 69: ２０時半の局面。消費時間は山崎３時間４７分、松尾４時間２２分。
手数 71: と金がにじり寄ってきた。
手数 72: 銀が前に出ると△４七角がある。
手数 74: 松尾、大きく駒を活用していく。
手数 77: ２１時２０分ごろの局面。消費時間は山崎４時間６分、松尾４時間４７分。
手数 78: △４一角や△６六歩を狙っている。
手数 81: 控え室ではと金を捨てるので評判があまり良くなかった。しかし、後手陣を乱した効果も大きい。
手数 83: と金を捨てたのは、この歩を突くためのようだ。前もってと金を捨てておかないと△４一角の味が違ってくる。
手数 85: △５五歩なら飛車交換も辞さずの態度だ。
手数 90: 角のラインに香車を入れておく。
手数 92: ２２時の局面。残り時間は山崎１時間４２分、松尾４２分。
手数 93: ▲同歩△９六角と７八の金を狙われるといきなり危なくなる。８七の歩を動かさないで８筋を受ける意味。
手数 96: 香得に成功。
手数 101: 嫌みをつけていく。
手数 104: ジッと銀の活用。松尾の指し手は落ち着いている。
手数 108: やはり、この位置に角が出るのが急所となる。
手数 113: 形を乱していく。
手数 116: 強手。▲同飛△同銀▲８二角成は△８七金▲同金△同角成▲７八金に△８八金がある。
手数 117: ２２時４０分の局面。残り時間は山崎１時間３８分、松尾１２分。山崎は中盤戦以降、あまり時間を使っていないようだ。山崎は「そっかー」と小さくつぶやいた。
手数 128: 松尾はここから１分将棋。
手数 133: 後手の方が良さそうだが、時間がないのがネックと控え室。
手数 160: 投了以下、▲５六玉△６六金▲５五玉△５七飛成▲４四玉△５三龍までの詰み。山崎の投了となった。
終局時刻は２３時２２分。消費時間は山崎４時間２８分、松尾５時間５９分。勝った松尾は２勝０敗、敗れた山崎は１勝１敗となった。
