先手: 北浜 健介七段
後手: 森下 卓九段
手数 6: 流行の一手損角換わり。
手数 17: 北浜、棒銀戦法にでる。手得を急戦にして生かす狙い。
手数 22: 棒銀を受ける１つの形。
手数 31: ここで、森下が１６分考えて昼食休憩に入った。消費時間は北浜４９分、森下１時間１分。昼食の注文は森下はとろろせいろ大盛（たまごなし）、北浜はなし。このあたりまでは同形の将棋がいくつか見られる将棋。どちらが先に新研究を出すだろうか。
手数 36: １３時４５分頃の局面。消費時間は北浜１時間６分。森下１時間１９分。
手数 39: １４時４５分の局面。消費時間は北浜１時間５０分、森下１時間３５分。昼食休憩後からは互いに小考が続いている。順位戦らしく局面はゆったりと進んでいる。
手数 40: ８２分の長考。１６時３５分の局面。消費時間は北浜１時間５０分。森下２時間５７分。
手数 41: ５１分の長考。
手数 43: 森下は６３分考えて夕食休憩に入った。消費時間は北浜２時間５２分。森下４時間３分。夕食の注文は森下がタンメン、北浜はなし。
手数 46: 森下流の端桂。
手数 47: ４８分の長考。次に△８五桂▲８六銀とされては６筋が薄い。▲７六銀の形を見せて６筋の守りを薄くしないようにした。
手数 48: ２０時の局面。消費時間は北浜３時間４７分、森下４時間８分。自陣角を打ってあくまでコビン攻めを見せる森下。
手数 55: ２１時過ぎの局面。消費時間は北浜４時間２２分、森下４時間１２分。玉頭から打開した北浜。今度は矢倉の金を積極的に繰り出した。
手数 59: 後手にプレッシャーをかける。
手数 60: ２２時前の局面。残り時間は北浜１時間９分。森下１時間２１分。森下は、玉の逃げ道を開けながら、銀取りに桂馬を跳ねた。
手数 66: 残り時間は北浜２８分、森下１時間１２分。
手数 67: 残り時間は北浜９分。森下１時間１２分。森下は熟考している。
手数 68: 森下は３１分の長考で早逃げをする。
手数 97: 以下は△同歩▲４一角△２一玉▲２二歩△同玉▲２三金△同銀▲同角成△同玉▲２四銀から銀を押し出して詰み。終局時刻は０時２６分。消費時間は北浜５時間５９分、森下５時間４９分。
