先手: 室岡 克彦七段
後手: 戸辺 誠四段
手数 3: ４手目に戸辺が長考している。
手数 4: 振り飛車党の戸辺だが、居飛車含みか？
手数 25: 相居飛車になった。残り時間は室岡１時間２７分、戸辺３５分。戸辺は４手目△６二銀に１９分使ったあとはずっとノータイム指しが続いている。
手数 44: ２３時過ぎの局面。残り時間は室岡４９分、戸辺１時間１３分。
手数 51: ２３時４５分ころの局面。残り時間は室岡３５分、戸辺１時間４分。
手数 52: 「後手模様よし」との評判。「必勝態勢」という声も。先手の攻めの体勢が遅れている。
手数 55: 間もなく２４時になろうとしている。
手数 65: ０時２０分ころの局面。
手数 70: 模様がよいと思われる戸辺は丁寧に面倒を見る。
手数 72: ０時３０分ころの局面。モニターを眺める若手棋士たちに評価を聞いてみるとやはり後手よしとのこと。
手数 77: ０時４５分ころの局面。残り時間は室岡１７分、戸辺３２分。
東京のＣ２は本局と▲長岡−△佐藤和戦の２局だけが残っている。
手数 78: 慎重に読みを入れて打った。
手数 80: 角道を止めてこの金出を狙っていたのか。
手数 81: 狭いところに逃げた。
手数 82: ０時５９分、８２手で戸辺の勝ち。残り時間は室岡１６分、戸辺１９分。勝った戸辺は２勝１敗、敗れた室岡は０勝３敗となった。
