先手: 平藤 眞吾六段
後手: 千葉 幸生五段
手数 6: 居飛車も指すようになった千葉だが、本局は四間飛車。
手数 13: 持久戦を目指す。
手数 14: 大事な一手。△８二玉は▲２五歩△３三角▲６八角△４三銀▲２四歩△同歩▲同角△２二飛▲３三角成△２八飛成▲４三馬で後手不利となる。
手数 18: 相手の態度を見る。
手数 19: １０時４５分ごろの局面。消費時間は平藤１０分、千葉８分。
手数 20: 千葉は穴熊を目指す。
手数 23: 平藤は左美濃。
手数 27: １１時４０分ごろの局面。消費時間は平藤３９分、千葉４０分。
手数 29: ▲８六歩の局面で千葉が２５分考えて昼食休憩に入った。消費時間は平藤３９分、千葉１時間１６分。昼食の注文は平藤がマーボ豆腐定食、千葉がさば味噌煮定食。
手数 35: 銀冠に組み替える。中原誠十六世名人や森下卓九段が得意にしている。
手数 37: 終盤で生きてくる端歩。
攻めては端攻め、受けては玉の懐を広くしている。
手数 39: １４時過ぎの局面。消費時間は平藤１時間１５分、千葉１時間３２分。
手数 40: ２１分の考慮。
▲２四歩△同歩▲３五歩△同歩▲３八飛に△４四角を用意している。
手数 41: ２９分の長考で仕掛けた。
手数 45: １５時２０分の局面。消費時間は平藤１時間４４分、千葉２時間１３分。
手数 46: ３３分の長考。
手数 47: ▲２八飛は△３三角で千日手になってしまう。
手数 48: ２６分の長考。
手数 50: △６四角の含みを作る。
手数 51: １６時２０分の局面。消費時間は平藤１時間４６分、千葉３時間１５分。
手数 54: １７時３０分の局面。消費時間は平藤１時間５４分、千葉３時間４９分。
▲２八飛には△６六歩▲同銀△３九角と攻め合うつもりだろう。
手数 55: ４２分の長考。
手数 57: ▲８五桂の局面で千葉が１６分考えて夕食休憩に入った。消費時間は平藤２時間４０分、千葉４時間１０分。
手数 58: ７四と端を守る。
手数 59: △６六歩をかわす。
手数 66: ▲同歩には△６五銀の調子がいい。
手数 67: ２０時１０分ごろの局面。消費時間は平藤３時間１８分、千葉４時間３１分。
手数 74: ２１時１５分ごろの局面。残り時間は平藤２時間２７分、千葉４６分。
手数 79: ２１時４５分の局面。残り時間は平藤１時間５７分、千葉４５分。
手数 85: ２２時１０分の局面。残り時間は平藤１時間５６分、千葉２３分。
手数 86: ２２時３０分ごろの局面。残り時間は平藤１時間５６分、千葉８分。
手数 90: 千葉、残り２分。
手数 105: ２３時２５分ごろの局面。残り時間は平藤１時間１０分、千葉１分。
手数 117: 後手玉は△７一桂や△７一角と受けても▲８一銀成△同玉▲７二銀△同玉▲６三飛成で詰み筋。ここで千葉の投了となった。終局時刻は２３時４１分。消費時間は平藤４時間５６分、千葉５時間５９分。勝った平藤は４勝５敗、敗れた千葉は６勝３敗となった。
