先手: 室岡 克彦七段
後手: 小林 宏六段
手数 7: 室岡の作戦は得意の四間飛車。
手数 18: 急戦をにおわせる。
手数 19: そこで玉移動。
手数 20: 趣向に出た。
手数 21: １１時頃の局面。ここまでの消費時間は室岡３３分、小林１８分。
手数 26: ここで昼食休憩。消費時間は室岡１時間２０分、小林３７分。
昼食の注文は両者ともになし。
手数 40: １４時半頃の局面。ここまでの消費時間は室岡１時間５０分、小林１時間２０分。
手数 44: ５２分考えて戦闘開始。
手数 46: これが仕掛けの呼吸。消費時間は室岡２時間４０分、小林２時間１２分。
手数 54: 急所の突き上げ。
手数 57: ここで夕食休憩。消費時間は室岡３時間５６分、小林２時間５６分。
夕食の注文は、室岡はギンダラ定食。小林はなし。
手数 59: 桂得確定。
手数 63: もう１枚の桂頭にもアクションをかける。消費時間は室岡４時間１２分、小林３時間１分。
手数 68: ２１時頃の局面。消費時間は室岡４時間３９分、小林３時間４９分。
手数 69: ２枚目の桂も取った。
手数 90: ２２時半頃の局面。残り時間は室岡４３分、小林１時間１８分。
手数 101: ２３時頃の局面。残り時間は室岡４３分、小林１時間８分。
手数 109: 残り時間は室岡２０分、小林１時間５分。
手数 112: 残り時間は室岡１４分、小林３７分。
手数 115: 時刻は０時を過ぎた。残り時間は室岡８分、小林３２分。
手数 117: 残り時間は室岡６分、小林１９分。
手数 123: 残り時間は室岡１分、小林１５分。
手数 129: 終了時刻は０時３７分。消費時間は室岡５時間５９分、小林５時間５７分。勝った室岡は４勝３敗、敗れた小林は３勝４敗となった。
