先手: 増田 裕司五段
後手: 有吉 道夫九段
手数 39: １１時２０分頃の局面。ここまでの消費時間は▲増田５３分、△有吉５分。
手数 47: この局面で有吉が２６分考え、昼食休憩に入った。ここまでの消費時間は▲増田１時間６分、△有吉４７分。
手数 49: １４時頃の局面。ここまでの消費時間は▲増田２時間７分、△有吉５１分。
手数 60: 「５四歩も大きいけど、３七桂が捌けないから意外と後手もやれるかもしれませんね」（安用寺五段）
手数 63: 飛車取りよりも、▲７四角成が実現すれば大きいか。
手数 69: 反撃。△４六同歩なら▲４五歩〜▲５三歩成がある。
手数 80: １７時頃の局面。ここまでの消費時間は▲増田３時間４１分、△有吉２時間９分。
手数 93: この局面で有吉が１２分考え、夕食休憩に入った。ここまでの消費時間は▲増田４時間７分、△有吉２時間３７分。
手数 116: ２０時過ぎの局面。ここまでの消費時間は▲増田４時間４６分、△有吉３時間９分。
手数 121: 後手は入玉できたとしても駒数が少ない。入玉するまでに何枚か駒を取られてしまいそうだ。先手優勢。
手数 122: 先手は豊富な持ち駒を生かして寄せに出るか、しっかり駒数を確保しにいくか迷うところ。攻めるなら▲２九金△同飛成▲１七金などが考えられる。
手数 123: 香の犠打。△同飛成には▲２九桂〜▲１七銀として、上部脱出を防ぐ狙い。
増田はここで１３分考え、残り１時間を切った。
手数 125: 次に▲３四馬△同玉▲１四龍の寄せがある。
手数 127: 「これは捕まったんちゃうかなぁ。逃げ切れる？」と尋ねる淡路九段に、「淡路先生が逃げ切れないなら、逃げ切れる人はいないと思います」と検討陣。
手数 128: ２１時半ごろの局面。ここまでの消費時間は▲増田５時間１４分、△有吉３時間３２分。
手数 132: ついに入玉。
手数 139: 入玉を目指せば安全勝ちだろうが、増田は寄せを目指す。
手数 144: △２六同と▲同龍△２七金と受けても▲３六角で受けが難しいとみた。
手数 149: 放っておけば▲２七角。△同成桂上とは取れない。△同成桂寄は▲２七竜以下、後手玉が詰む。
ここで有吉は１分考え、次の手を指さずに投了した。消費時間は▲増田５時間５３分、△有吉３時間４９分。勝った増田は２勝１敗、敗れた有吉は３連敗となった。
