先手: 高橋 道雄九段
後手: 井上 慶太八段
手数 8: 井上は一手損角換わりを選択。
手数 15: 高橋は棒銀に出た。１１時ごろの局面。ここまでの消費時間は高橋３９分、井上９分。
手数 22: ▲２四歩△同歩▲同銀に△２七歩を用意した手。ここで高橋が１８分考えて、昼食休憩に入った。ここまでの消費時間は高橋１時間３３分、井上２６分。
手数 23: 昼食休憩を含む１時間１０分の長考の末指された。▲３八角は△２二銀▲２四歩△同歩▲同銀△２三歩▲１五銀△６四銀と後手が攻めてきたときに、先手玉が６八にいるため当たりがきつい意味がある。１４時ごろの局面。ここまでの消費時間は高橋２時間２５分、井上２６分。
手数 26: 飛車のコビンを狙う。
手数 27: ▲１八飛と逃げるのは、棒銀の趣旨に合わない。
手数 30: 棒銀の狙いは銀交換をすることだが、それを避けた手でこの場合の手筋である。
手数 32: 桂頭を狙う。▲３五同歩なら△２四歩と手を戻して、△３六歩のキズが残る。１５時ごろの局面。ここまでの消費時間は高橋２時間３３分、井上４５分。
手数 35: 桂頭を守りつつ、６三の地点も狙っている。
手数 37: ▲２三角成は△３七歩成が飛車取りになるので、やりにくい。
手数 38: ▲６三角成を受ける。
手数 40: 飛車ににらみを消して、△３四銀の活用をみている。
手数 41: ゆっくりとした展開になった。先手は角を手放したのに対して、後手はまとめづらい陣形だ。１６時ごろの局面。ここまでの消費時間は高橋３時間３８分、井上１時間１１分。
手数 43: 後手に△４四歩〜△４三銀と活用されないようにした手。
手数 45: お互い攻める手がないので、自陣の整備に入る。
手数 46: ７四の歩が切れれば、飛車の横利きが通る。
手数 51: ここで井上が１時間１２分考えて、夕食休憩に入った。ここまでの消費時間は高橋４時間０分、井上２時間５５分。
手数 52: 井上が仕掛けた。ここで△７三桂は▲６七金右と手厚くされる。
手数 53: ▲７五同歩△同銀▲７六歩△６四銀で一歩手持ちにされて不満かもしれない。
手数 57: ３六の角が６三の地点をにらんでいるので、先手は強く戦う。
手数 61: ２０時ごろの局面。ここまでの消費時間は高橋４時間２１分、井上２時間５６分。
手数 62: △８四飛と逃げるのは▲６四歩△同歩▲７六金で先手良し。後手は７六の歩を拠点にして手を作っていきたい。
手数 65: △７五同飛は▲６四銀と出られてしまう。
手数 68: 先手の狙いの▲６八飛を消した手。▲３八同飛は△４九角の両取りがある。
手数 69: いずれ▲６九飛があるかもしれない。以下△５八角▲６四飛△同飛▲同銀の強襲がある。
２１時の局面。ここまでの消費時間は高橋４時間４７分、井上３時間４９分。
手数 70: 金を玉に近づける。
手数 71: 攻めに手厚くした手。
手数 72: 金をくっつけた。
手数 75: 次に▲７五金があるし、△７四同飛は▲８五金△７三飛▲６四銀と先手の攻めの調子が良い。
２２時ごろの局面。ここまでの消費時間は高橋５時間３分、井上４時間３１分。
手数 77: ▲８六同歩は△７五歩が嫌み。（１）▲同金なら△８六飛▲８七歩△５六飛。（２）▲８五歩は△７四飛。
手数 85: 高橋は６筋に飛車を回って攻める。
手数 86: 「大駒は近づけて受けよ」の手筋。
手数 87: ２３時ごろの局面。ここまでの消費時間は高橋５時間２０分、井上５時間１３分。
手数 88: 井上は反撃に出た。
手数 94: ▲６九金は△７六歩が嫌。控室では井上良しの声もあがっている。
手数 99: △６八歩成からの攻めを受けた。
手数 110: 確実な攻め。控室では井上勝勢といわれている。
手数 111: 高橋必死の粘り。▲６八同金なら△同飛成▲７八銀△６九金が受けにくい。
手数 124: ここで高橋は投了した。▲８八飛と受けても△９六香が厳しく、先手に適当な受けがない。消費時間は高橋５時間５３分、井上５時間５８分。勝った井上は７勝３敗、敗れた高橋は５勝４敗になった。
