先手: 田丸 昇八段
後手: 脇 謙二八段
手数 12: 早くも銀が腰掛ける。
手数 14: 脇の作戦は右四間飛車だった。
手数 19: △３三角と▲５八金。両者ともに力のこもった手つきだった。
手数 20: １１時頃の局面。ここまでの消費時間は▲田丸３４分、△脇２３分。
手数 26: この局面で田丸が２２分考えて昼食休憩に入った。ここまでの消費時間は▲田丸１時間６分、△脇４５分。
手数 30: １４時過ぎの局面。ここまでの消費時間は▲田丸１時間２６分、△脇５３分。
手数 31: ４１分考えて銀を上がった。▲３五歩などを見せているが、△６五歩を誘発することにもなる。
手数 32: もちろん脇は仕掛ける。
手数 33: 争点を６五から６六に移すのが、右四間の攻めを受け流すコツのようだ。６五には銀桂が利いているが、６六には角しか利いていない。
手数 35: 田丸は５２分の長考で、歩を取った。ここまでの消費時間は▲田丸２時間５９分、△脇１時間７分。
手数 36: なんと１時間３３分の長考。
手数 38: ここまでの消費時間は▲田丸３時間１分、△脇２時間４１分。
手数 41: この局面で脇が２０分考え、夕食休憩に入った。ここまでの消費時間は▲田丸３時間３２分、△脇３時間２０分。
手数 46: この手に代えて派手に△５六銀は、▲同金△６七歩成に▲６六歩△７八と▲同玉で切れ模様。
ここまでの消費時間は▲田丸３時間３９分、△脇３時間５８分。
手数 53: ここまでの消費時間は▲田丸４時間２９分、△脇４時間８分。
手数 66: この局面で田丸は２分考え、そのまま投了した。投了図から▲２三飛成は△６八銀以下即詰み。飛車が成れないとなれば指す手に窮している。
消費時間は▲田丸４時間５８分、△脇４時間４３分。勝った脇は２勝３敗、敗れた田丸は５連敗となった。
