先手: 先崎 学八段
後手: 浦野 真彦七段
手数 1: 先崎は初手に２分使った。
手数 2: 浦野も２手目に６分使った。
手数 4: 角道を止められたことに意表を突かれたのか、この手に２５分考えている。
手数 7: １１時頃の局面。ここまでの消費時間は▲先崎２１分、△浦野３２分。
手数 15: この局面で浦野が１９分考え、昼食休憩に入った。ここまでの消費時間は▲先崎３８分、△浦野１時間２４分。
手数 18: 通常の矢倉と比べて、一手早く囲えそうだ。早囲いの問題点は△３二玉型でなかなか戦いづらいことと、相手がそこを狙って急戦を挑む可能性があること。
手数 19: 本局初のノータイムでの着手。なぜか棋譜用紙はぽっかり穴が開いたように見える。
手数 21: １４時頃の局面。ここまでの消費時間は▲先崎１時間ちょうど、△浦野１時間５０分。
手数 24: １５時頃の局面。ここまでの消費時間は▲先崎１時間４分、△浦野２時間４１分。
手数 30: 矢倉に囲うよりも、角打ちの隙が少ないとの判断。
手数 33: １６時ごろの局面。ここまでの消費時間は▲先崎１時間５０分、△浦野３時間３分。
手数 35: １７時頃の局面。５８分の長考で玉を入城した。ここまでの消費時間は▲先崎２時間４８分、△浦野３時間９分。
手数 38: この局面で先崎が３０分考えて夕食休憩に入った。ここまでの消費時間は▲先崎３時間２４分、△浦野３時間３７分。
棋士室では、右桂が有効に活用できそうな先手の模様がいいと言われている。
手数 41: 棋士室の予想通り、自然に桂馬を活用した。
手数 44: ２０時頃の局面。ここまでの消費時間は▲先崎３時間３０分、△浦野４時間１４分。
手数 53: ここまでの消費時間は▲先崎４時間１６分、△浦野３時間５４分。
手数 54: 類似形は端歩を突きあっていない将棋がほとんど。本局は端歩の突き合いを利用した。
手数 60: ２２時半頃の局面。浦野はこの一手に１６分考えている。ここまでの消費時間は▲先崎４時間３１分、△浦野５時間１０分。
手数 81: △７六桂と跳ねられても▲９八玉と逃げれば詰めろがかからない。保険をかけた手堅い一着。
手数 83: ２３時半頃の局面。ここまでの消費時間は▲先崎５時間２８分、△浦野５時間１０分。
棋士室の形勢判断は先手優勢。
手数 86: 感想戦で先崎は「△５五飛をうっかりした」を連発。実際の形勢は微妙だが、とにかくこの心理状態で不利感を感じていたようだ。
手数 113: この局面で浦野が投了した。消費時間は▲先崎５時間４８分、△浦野５時間５９分。勝った先崎は３勝１敗、敗れた浦野は１勝３敗となった。
