先手: 中村 修八段
後手: 飯塚 祐紀六段
手数 3: 藤井システムか。
手数 9: △１四歩を見てなのか、振り飛車ではなく居飛車に変更。
手数 14: 左美濃と△３一角で歩交換を目指す手。
手数 17: これなら△３一角に▲７七銀が間に合う。
手数 20: 変則的な出だしだったが、相矢倉になりそうだ。
手数 26: △７四歩の局面で中村が１２分考えて昼食休憩に入った。消費時間は中村が４３分、飯塚が１時間１１分。
△７四歩と居玉で攻めの陣形を作りにいく。先手の動きを見て△４二玉〜△３二玉の早囲いにするか、△３二金〜△４一玉の普通の囲い方にするかを決めるつもりだろう。
手数 27: ▲２五歩と突いて、棒銀の含みを残す手も考えられる。
手数 28: 棒銀から端攻めの筋がなくなったので、早囲いを目指す。
手数 33: １４時過ぎの局面。消費時間は中村が１時間１２分、飯塚が１時間３３分。
手数 34: ６４分の長考で玉を寄る。後手としては、早囲いに組めたので主張が通ったといえるが、「受ける青春」の中村は受け身になることは苦にしない。
手数 37: 現代矢倉の基本形というべき、▲４六銀・▲３七桂型。
手数 40: 早囲いを生かして先攻。
手数 43: 攻撃態勢は整っているので、反撃。
手数 44: １６時頃の局面。消費時間は中村が１時間５５分、飯塚が３時間２分。
手数 45: 攻めの幅を広げる端の突き捨て。
手数 47: △同歩なら▲同銀△同銀▲同角△３六歩▲２五桂と、と金を許す代わりに、駒をさばくつもりだろうか。
手数 49: この取り込みは大きい。
手数 50: 攻め合いになった。
手数 51: ▲同銀は△７五歩▲６五銀△６四歩で銀が憤死する。
手数 53: 逆に△７五歩とされると、拠点が残ってよくない。
手数 57: 手順にキズを消して攻めの手番を得る。
手数 58: １７時過ぎの局面。消費時間は中村が２時間３０分、飯塚が３時間２３分。
手数 59: 駒が３三に利いてきた。
手数 60: △７五歩の局面で中村が２９分考えて夕食休憩に入った。消費時間は中村が３時間２分、飯塚が３時間４５分。
手数 61: しばらく面倒見るつもり。歩がたくさん入れば、端攻めも厳しくなるので、攻めに困らなくなる。
手数 65: 「受ける青春」らしく、手堅く受ける。△８六歩も▲同銀で攻めにならなそうだ。
手数 66: 先手の玉頭に爆弾を仕掛けたまま、別の場所にも仕掛けを作る。
手数 67: 手筋の成り捨て。△同桂は▲３四歩△同金▲３五歩でしびれてしまう。
手数 68: よって、△同銀。しかし、この瞬間は端の守りが薄くなっている。
手数 69: すかさず、端攻め。
手数 73: ３三は後手の一番固いところ。１三は後手の一番手薄なところ。どちらを攻めるべきかは自ずとわかる。
手数 74: ２０時の局面。消費時間は中村が３時間４８分、飯塚が３時間４９分。
△１三同玉の瞬間は、後手玉が先手の角筋に入って危険な形。うまい攻めがあれば、先手が一気に良くなりそうだ。
手数 75: どう応じても味が悪い。
手数 77: 取れば、▲１七香。
手数 78: △１四歩とも受けにくい。囲いに収まっておく。
手数 79: 圧力を加える。１筋が受けにくい。
手数 80: 大駒を近づけて受ける。▲同飛なら飛車の横利きが悪くなる。
手数 81: ２１時の局面。消費時間は中村が４時間１３分、飯塚が３時間５７分。
手数 83: 「焦点の歩」△同角以外は▲１四香で攻める。△同角は先手陣を攻めにくいし、▲３五歩と攻められたときに一番あたりがきついのでやりにくい。
手数 84: １筋軽く受け流す方針のようだ。
手数 85: これで端が突破できた。しかし、４六銀がさばけていないのが気がかり。
手数 86: 「玉の早逃げ八手の得あり」
手数 87: 角を近づけ、あたりを強くする手筋。△同角には▲５四歩や▲５五香の攻めがある。
手数 88: ということで、手抜いて攻める。
手数 89: 玉頭のいやらしい歩を取り払えたのも大きいところ。
手数 92: 味をつけてから手を戻す。
手数 93: △同金は▲５五歩。
手数 94: ２２時の局面。残り時間は中村が１時間２５分、飯塚が１時間１２分。
手数 96: ４６分の長考。
△４五桂が飛車取りにする意味
手数 98: ２３時の局面。残り時間は中村１時間１７分、飯塚２６分。
手数 102: 手筋の銀打ちだが。
手数 103: 残り時間は中村４０分、飯塚２４分。
中村は堂々と銀を取りにいく。なかなかこうはさせないものだ。
手数 107: 再度、焦点の歩。△同角は▲１二飛成△２二金に▲２一成香がある（△同金は▲８二竜）。
手数 108: しかし、これでは辛そうだ。
手数 109: 銀が取れては後手の攻めが切れたか。
手数 111: 切らしにいく。
手数 113: 攻防ともに手段なしと見て飯塚は投了した。先手からは次に▲１二飛成△２二金▲１三角成のような厳しい攻めが残っている。終局時刻は０時６分。消費時間は中村５時間２７分、飯塚５時間５９分。中村は２勝２敗、敗れた飯塚は３勝２敗となった。
