先手: 上野 裕和四段
後手: 高田 尚平六段
手数 26: 持久戦になれば大きい位取り。
手数 35: ▲６六歩の局面で高田が２２分考えて昼食休憩に入った。消費時間は上野が３８分、高田が１時間１６分。
手数 39: １４時の局面。消費時間は上野が１時間８分、高田が１時間１６分。
手数 42: △１四歩が△１三角の筋を見せているので、桂馬が跳ねやすい。狙うは中央だ。
手数 44: １５時５０分の局面。消費時間は上野が１時間２０分、高田が２時間１８分。
手数 45: ７８分の長考。６四の銀の活用をけん制し、７九〜８九の玉の通路を作った一手。
手数 46: 高田は当初の構想通りに駒を進めていく。
手数 48: １７時１５分の局面。消費時間は上野が２時間３８分、高田が３時間２１分。
手数 53: ▲１六歩の局面で高田が９分考えて夕食休憩に入った。消費時間は上野が２時間５６分、高田が３時間５７分。
手数 60: 消費時間は上野３時間１１分、高田３時間５８分。
手数 61: ９０分の長考。
手数 72: 残り時間は上野５８分、高田５７分。
手数 84: 残り上野４０分、高田４６分。
手数 87: 残り時間は互いに１８分になっている。
手数 90: 残り時間は上野１８分、高田３分。
