先手: 田村 康介六段
後手: 高崎 一生四段
手数 23: ▲５五歩の局面で高崎が４３分考えて昼食休憩に入った。消費時間は田村が３３分、高崎が１時間２９分。
手数 24: １０９分の大長考で仕掛ける。
手数 26: この場合の形。
手数 35: １５時５０分の局面。消費時間は田村が１時間２２分、高崎が３時間１４分。
田村は手順に△６六歩と打たれてしまったが大丈夫だろうか。
手数 38: 端玉には端歩の格言通り。
手数 41: ４５には銀よりも桂馬で行くほうが良いと判断。
手数 42: △８五歩の狙い。
手数 47: １７時１５分の局面。消費時間は田村が１時間４２分、高崎が４時間１４分。
手数 56: すぐに角を取らず、じっと力をためる。
手数 61: ▲８六桂の局面で高崎が１４分考えて夕食休憩に入った。残り時間は田村が４時間９分、高崎が５５分。
手数 62: 次に△８五歩を見せて冷静。
手数 65: 残り時間は田村３時間５６分、高崎４７分。
手数 66: ２０分の長考。高崎残り時間は２７分に。
手数 86: ▲６三香成も詰めろではなく受けても一手一手になってしまう。終局時刻は２０時３２分。消費時間は田村２時間２２分、高崎５時間５１分。勝った高崎は２連勝、敗れた田村は２連敗となった。
