先手: 室岡 克彦七段
後手: 木下 浩一六段
手数 2: 木下は３分の遅刻で持ち時間から９分引かれている。
手数 25: １０時４５分の局面。消費時間は室岡１９分、木下１４分。
手数 38: １１時３０分の局面。消費時間は室岡３５分、木下３３分。
手数 43: ▲６五歩の局面で木下が１６分考えて昼食休憩に入った。消費時間は室岡５６分、木下５６分。
手数 48: １４時前の局面。消費時間は室岡１時間２１分、木下１時間１分。
手数 49: 位の圧力から遠ざかるために穴熊へ組み替える。
手数 66: １５時１５分ごろの局面。消費時間は室岡２時間２５分、木下１時間１４分。
手数 74: １６時１５分ごろの局面。消費時間は室岡３時間６分、木下１時間１７分。
手数 82: １７時３０分の局面。消費時間は室岡４時間１２分、木下１時間３０分。
手数 85: ▲４四歩の局面で木下が２３分考えて夕食休憩に入った。消費時間は室岡４時間４９分、木下１時間５３分。
手数 98: ２０時ごろの局面。消費時間は室岡５時間３６分、木下１時間５８分。
手数 101: 先手玉は詰まない。後手玉は△４三金▲２二銀△２四玉▲４三龍が▲１三銀不成△同玉▲２二歩成の詰めろで一手一手。木下は４分考えて投了した。
終局時刻は２０時７分。消費時間は室岡５時間３７分、木下２時間６分。勝った室岡は６勝４敗、敗れた木下は０勝１０敗で今期順位戦を終えた。
