先手: 勝又 清和六段
後手: 西川 慶二七段
手数 1: しばらく席を外していた勝又は初手に７分使っている。
手数 15: 矢倉模様。
手数 18: 西川は急戦を狙う。
手数 22: １１時１５分ごろの局面。消費時間は勝又２５分、西川２９分。
手数 23: ２４分の考慮。
手数 24: △５二金の局面で勝又が２２分考えて昼食休憩に入った。消費時間は勝又１時間１１分、西川４５分。
手数 28: 先に△８五歩もあるところ。
手数 34: １４時の局面。消費時間は勝又１時間１８分、西川１時間１７分。
手数 35: ４四銀の動きをけん制する。急戦矢倉に対してはここに角を移動させるのが一つの定跡。
手数 36: 将来、５三の地点を受けているということだろうか。また、４四銀を動かした後、▲７一角成とされたときに飛車取りにならないようにしている。
手数 37: １５時１５分の局面。消費時間は勝又２時間３２分、西川１時間２６分。
勝又は▲３七銀に５３分の長考。
手数 46: １６時半の局面。消費時間は勝又２時間４７分、西川２時間６分。
角の働きが悪いと見て、方向転換。
手数 49: １７時半の局面。消費時間は勝又３時間１２分、西川２時間１２分。勝又は銀で頭突きする。△同銀▲同桂となれば、攻め駒が躍動してくる。
手数 50: ５２分の長考。
手数 53: ▲３五同角の局面で西川が２７分考えて夕食休憩に入った。消費時間は勝又３時間２２分、西川３時間３２分。
手数 56: △３五歩の効果でこの飛び出しが生じた。
手数 64: ２０時の局面。消費時間は勝又３時間２８分、西川４時間２３分。勝又は控え室に入ると「ああ、オレはバカだ」とぼやいていたが、実際の形勢はどうなのだろうか。
手数 70: 大技が飛び出した。
手数 72: これで飛車がさばけた。後手好調を思わせる動き。
手数 79: 銀得になったが、１八飛の遊びが痛い。
手数 80: △８七歩から△６七龍を狙っている。
手数 81: ２０時４０分の局面。消費時間は勝又３時間４５分、西川４時間３０分。
手数 83: ２１時１０分ごろの局面。消費時間は勝又４時間３分、西川４時間３９分。
手数 86: 取れば、△８七桂成▲同銀△６七龍で一手一手の寄り筋。
手数 91: ギリギリでこらえる。
手数 95: ２２時の局面。残り時間は勝又１時間３３分、西川１時間２分。
手数 101: 待望の反撃。
手数 105: 角は追われたものの、この馬も攻防に働く好位置。
手数 119: 先手玉は△９四銀▲８四玉△６四龍以下の詰めろ。それが来る前に後手玉を詰ましに行く。
手数 122: 広い方へ逃げるが。
手数 124: △６一玉は▲８三角△７二桂▲５二金△７一玉▲６二金打で詰む。
手数 131: 以下は△８一玉▲７二金打△９二玉▲８二金打△９三玉▲７五馬までの詰み。西川の投了となった。終局時刻は２３時５分。消費時間は勝又５時間５分、西川５時間２０分。勝った勝又は３勝３敗、敗れた西川は１勝５敗となった。
