先手: 高田 尚平六段
後手: 豊島 将之四段
手数 5: 相矢倉模様の出だし。
手数 10: 豊島は美濃囲いを作った。ここから矢倉を目指すこともできるし、玉を３一まで動かした程度で戦いに持ち込むこともできる柔軟な指し方。
手数 16: １１時頃の局面。ここまでの消費時間は▲高田２８分、△豊島２８分。
手数 17: 序盤巧者の高田、本局はオーソドックスな矢倉。
手数 20: 飛車先を受けない。急戦を目指しているようだ。
手数 22: 豊島の作戦は右四間飛車。単純ながら破壊力十分でアマチュアにも人気のある戦型である。
手数 26: この局面で高田が１１分考え、昼食休憩に入った。ここまでの消費時間は▲高田１時間１３分、△豊島４６分。
手数 28: ３７分の考慮。
手数 30: １４時頃の局面。ここまでの消費時間は▲高田１時間１９分、△豊島１時間２７分。
手数 34: △７三桂〜△８五桂〜△６五歩まで指せれば受けにくい。また、▲７九角と引くのは▲６五歩と合わせられるので、角は引かないままの戦いになりそうだ。
手数 36: １５時頃の局面。ここまでの消費時間は▲高田１時間４４分、△豊島２時間６分。
手数 40: 積極的に動いている。矢倉の出だしからの右四間飛車は△８四歩が突いていることが多いが、本局は△８四歩を突いていない。一手早く動けているようだ。
手数 41: １６時２０分頃の局面。ここまでの消費時間は▲高田２時間３８分、△豊島２時間３１分。
手数 46: １７時半頃の局面。ここまでの消費時間は▲高田２時間５９分、△豊島２時間５９分。
手数 52: この局面で高田が２３分考えて夕食休憩に入った。ここまでの消費時間は▲高田３時間４３分、△豊島３時間１３分。
手数 55: △同飛は▲６四歩で先手を取れる。
手数 56: 桂香両取り。
手数 60: 歩の裏から香車を打つのは、常に厳しい。合い駒に歩を打てないからだ。
手数 63: ２０時ごろの局面。ここまでの消費時間は▲高田３時間５８分、△豊島３時間４４分。
手数 64: がつんと打ち込み。馬を逃げると△６七歩と垂らして追い討ちをかける。
手数 70: ひらりと舞うような手つき。
次は△３七成銀ではなく、△４六角が厳しい。
手数 72: ２１時ごろの局面。ここまでの消費時間は▲高田４時間２５分、△豊島４時間２３分。
手数 73: 当然の追い討ち。「金は斜めに誘え」という格言もある。
手数 74: 飛車取り。間接的に７九玉をにらんでいるので、王手飛車取りに近い厳しさがある。
手数 77: 飛車を見捨てて玉を上がる。
将棋を覚えたての人にはなかなかこの見切りが難しい。株の損切りのように、自分で目安を決めておくわけにもいかない。
手数 78: 大きな駒得になった。
手数 82: と金攻めは、受けが難しい。
手数 88: ここで高田が投了した。投了以下は▲７九同玉に△９九飛▲８九金（角合でも）△６九銀成▲８八玉△９八金▲同金△７九飛成までの詰み。消費時間は▲高田４時間５４分、△豊島４時間４０分。勝った豊島は２勝２敗、敗れた高田は１勝４敗となった。
