先手: 中村 修九段
後手: 高崎 一生七段
手数 1: 定刻の１０時に対局開始。中村は▲２六歩と飛車先の歩を突いた。
手数 2: 高崎が三間飛車を得意とする振り飛車党で、相振り飛車戦を辞さないのに対し、中村は近年は振り飛車が多いながら、対振り飛車党には居飛車の採用が多く、本局も対抗形に進みそうだ。
手数 3: ◆中村　修（なかむら　おさむ）九段◆
１９６２年１１月７日生まれ、東京都町田市出身。佐伯昌優九段門下。１９８０年、四段。２００８年、九段。棋士番号は１４３。
タイトル戦登場は５回。獲得は王将２期。棋戦優勝は１回。
手数 4: ◆高崎　一生（たかざき　いっせい）七段◆
１９８７年２月１２日生まれ、宮崎県日南市出身。（故）米長邦雄永世棋聖門下。２００５年、四段。２０２０年、七段。棋士番号は２５７。
手数 5: 中村の今年度成績は１勝１４敗（０．０６７）。
通算成績は８２４勝７５２敗（０．５２３）。
手数 6: 高崎の今年度成績は９勝１１敗（０．４５０）。
通算成績は３４５勝２５７敗（０．５７３）。
手数 7: 端を受けておく。
手数 8: 高崎の作戦は９筋の突き合いを入れた形の後手三間飛車。
手数 9: 中村の順位戦成績は２３２勝２１４敗（０．５２０）。第４０期からの参加で今期が４３期目。最高クラスはＢ級１組で、通算１１期。Ｂ級２組は通算３０期目で連続１２期目。
手数 10: 高崎の順位戦成績は１１５勝６２敗（０．６５０）。第６５期からの参加で今期が１８期目。Ｂ級２組は連続３期目。
手数 11: 中村は７連敗でまだ白星がない。すでに降級点を１つ所持しており、次の降級点は降級となるわけだが、回避には残り３連勝が絶対条件で、その上で競争相手９人の成績低調を望むよりなく、場合によっては今節中に降級が決まる可能性もある。厳しい状況だがまずは今期の初勝利を本局で挙げたい。
手数 12: 高崎は直近に連敗があり、現在２勝５敗。現在、下から５番目の位置で、７人につく降級点の圏内にいる。順位１１位を考えると、３勝止まりだと極めて危うく、残り３節で２勝以上ほしい。そのためにも本局で連敗を止めつつ、降級点回避につなげる足掛かりにしたい。
手数 13: 対戦成績は高崎５勝、中村３勝。現在、中村の３連勝中。順位戦では第８０期のＢ級２組で顔合わせがあり、中村が勝っている。

