先手: 北島 忠雄六段
後手: 田丸 昇八段
手数 5: 角換わり志向。
手数 10: 力戦が得意の田丸。△７七角成では定跡形となるので変化する。
手数 17: 作戦の岐路。５筋の歩を突くか、４筋の歩を突くかでまったく違う展開となる。
手数 20: △５四歩の局面で北島が１９分考えて昼食休憩に入った。消費時間は北島が１時間１５分、田丸が４３分。
後手も先手と同じで６筋を突くかどうかで展開が変わる。
手数 29: ３筋の歩交換を目指す。そのあとに▲３六銀型が作れるのが魅力だ。
手数 34: 上部を厚くするため矢倉囲いに組む。
手数 35: １４時４５分の局面。消費時間は北島が１時間５９分、田丸が１時間３１分。
手数 39: 互いに三手角から▲２六角、△８四角と同じ位置に構える。攻撃力高いので、激しい攻め合いが予想される。
手数 42: １６時前の局面。消費時間は北島が２時間１３分、田丸が２時間２３分。
手数 43: 「攻めの理想は飛角銀桂」北島は理想形になった。
手数 44: 次に△５六歩と突けば、角の利きが、３九の飛車に効いてくる。
手数 45: 角の利きを避けながら、すべての攻め駒が４筋を狙う形になり自然な一手。
手数 46: ▲４五歩を見せられボヤボヤしていられないと見たか、田丸いきなりの仕掛け。
手数 47: １７時１５分の局面。消費時間は北島が２時間３９分、田丸が３時間１２分。
手数 49: 「桂先の銀定跡なり」銀の斜め後ろに進める性質によって、桂馬の動きを抑えているので、受けの好形とされる。
手数 50: △５七歩の局面で北島が３９分考えて夕食休憩に入った。消費時間は北島が３時間３４分、田丸が３時間１８分。
手数 53: 慌てず騒がず、冷静に応じる。
手数 54: 歩がないので、力をためる。
手数 55: さらに落ち着いて玉を入城させる。物腰のしっかりした手だ。
手数 56: １９時３０分の局面。消費時間は北島が３時間３７分、田丸が３時間４１分。
手数 58: 田丸は歩が欲しい。歩を交換するために端を攻めるのは手筋。
手数 63: ▲９七歩△同香成▲同玉とすると、△７七歩▲同桂△７六歩が嫌味か。
手数 66: ２０時３０分の局面。消費時間は北島が３時間５１分、田丸が４時間１１分。
手数 70: ▲３五歩で銀が死ぬ形なので、一直線の攻め合いになる。どちらの攻めが厳しいか。
手数 71: 攻めにはずみをつける手筋。
手数 75: このときに、桂馬に当たっているのが▲３三歩の効果。
手数 76: ２１時３０分の局面。消費時間は北島が４時間６分、田丸が４時間３２分。
北島は勝ちを読みきるためか、４０分以上の長考をしている。
手数 77: ６０分の長考で香を受ける。
手数 80: 田楽刺しは厳しい。
２２時１５分の局面。残り時間は北島は５４分、田丸が１時間１７分。
手数 88: 残り時間は北島が３９分、田丸１時間１７分。
手数 89: 形を乱す、手筋の焦点の歩。
手数 91: このタイミングで攻めあう。
手数 117: 先手玉は上が抜けていて詰みが無い。一方後手は適当な受けが無い。終局時刻は０時３８分。消費時間は北島５時間５８分、田丸５時間５２分。
