先手: 真部 一男八段
後手: 矢倉 規広六段
手数 1: 真部は東京都出身の５５歳、故・加藤治郎名誉九段門下。今期は１勝１敗、０．５０００。通算成績は５９６勝６０５敗、０．４９６３。
手数 2: 矢倉は大阪府出身の３２歳、桐山清澄九段門下。今期は１勝２敗、０．３３３３。通算成績は２３７勝１９１敗、０．５５３７。
手数 3: 力戦指向の角上がり。
手数 7: 真部は筋違い角を打った。早くも乱戦へ。
手数 11: ここまでの消費時間は▲真部２６分、△矢倉３２分。
手数 14: 角を押さえるために銀を繰り出していく。
手数 16: 力強い玉上がり。△３一銀型のまま、玉を２二に上がる構想。
手数 19: ▲８六歩の局面で矢倉が３９分考えて昼食休憩に入った。消費時間は真部３５分、矢倉１時間２７分。
手数 23: １４時の局面。消費時間は真部４９分、矢倉１時間３４分。
手数 24: 矢倉、△６四銀に１時間１３分の長考。桂頭を狙っていく。
１５時の局面。消費時間は真部４９分、矢倉２時間４７分。
手数 25: １時間２分の長考で▲９六角と飛び出した。
手数 26: ３４分の長考。攻めてきなさいの▲９六角に、では攻めましょうの△７五歩。対局者の読みと読みがぶつかった瞬間。
手数 30: 歩の後ろに潜りこむ。△３三角や△７五銀から△７六歩が狙いになっている。
手数 31: 手筋の一手。△同歩なら▲８四歩△同歩▲８三歩のような攻めがある。
手数 32: ▲７八金なら△６四角がピッタリしている。
手数 33: 激しい。互いにわが道を行く。
手数 37: １７時過ぎの局面。消費時間は真部２時間３２分、矢倉３時間２９分。ノータイムで馬に飛車をぶつける。果たしてどちらが読み勝っているのだろうか。
手数 40: 後手の桂得となった。
手数 42: 金取りを受けつつ、８四歩の圧力から逃げる。
手数 44: △５三金の局面で真部が６分考えて夕食休憩に入った。消費時間は真部２時間４８分、矢倉４時間１３分。
手数 46: 駒の交換になれば、玉形の差が出てくる。
手数 49: 金を取るのも大きいが、それと同じくらい▲８一飛成から▲３四桂も厳しい攻めだ。
手数 50: 手抜いて攻める。
手数 52: 攻防の角打ち。
手数 53: ２０時の局面。消費時間は真部３時間２４分、矢倉４時間２６分。真部は攻めを催促する。
手数 64: 真部は３分考えて攻防ともに見込みなしと、投了した。終局時刻は２０時５５分。消費時間は真部３時間４９分、矢倉４時間５９分。
