先手: 北浜 健介七段
後手: 畠山 鎮七段
手数 18: 珍しい形。この手の代わりに△３四歩と突けば▲２七銀〜▲３六銀と、最近おなじみの進行になる。
本譜の最新の実戦例は畠山自身が指したもの。その対局や他の実戦例のほとんどでは、ここから▲２七銀と指している。
手数 21: 北浜は腰掛け銀模様の進展を選んだ。
手数 22: この一手の消費時間は３５分。
手数 29: この局面で畠山鎮が１６分考えて昼食休憩に入った。ここまでの消費時間は▲北浜４１分、△畠山鎮１時間１６分。
手数 33: ５８分の長考。
手数 39: １６時過ぎの局面。ここまでの消費時間は▲北浜２時間１０分、△畠山鎮２時間３３分。
手数 41: ▲６六角（次に飛車取りと▲２三銀成）と▲５六角（次に▲２三銀成）が狙い筋。
手数 44: この局面で北浜が４４分考えて夕食休憩に入った。ここまでの消費時間は▲北浜３時間２７分、△畠山鎮３時間３１分。
手数 45: 再開後、開戦した。夕食休憩を挟んで４６分の考慮。
手数 53: 端攻めと連携した攻め。△２四同歩ならば▲４三銀成〜▲１二角成と攻め込む。
手数 55: 以下△４三同玉▲１二角成△６三角（８一飛で２一桂を支える）の局面で「一体どうやって攻めを続けるのか」と検討陣は不思議そうな表情。そのまま放置すれば△２三銀で飛車も馬も押さえられる。
手数 62: 感想戦ではこの手が敗着とされ、△６五銀が最善だった用だ。
手数 63: 棋士室では△１四歩に強く▲同香と取り、△同銀に▲２四飛と走って先手が指せると見られている。
手数 64: ３４分の考慮。やはり守る側は慎重に時間を使う。
手数 68: △２三銀打では▲６四飛（銀取り）が受けにくい。本譜は最善の粘り。後手は馬を作られ、飛車を捌かれているが、駒割りは後手の銀得。局面を収めれば後手が指せる。
この局面から▲１七桂と跳ねたいが、銀取りを無視しての△５四香の対処が難しいようだ。
手数 69: 棋士室では△６五銀打と受けると見られている。以下、（１）▲４五馬は△４四歩（！）。▲同飛または▲同馬とあえて取らせて△５二玉と引き、次に飛車を取りに行こうという狙い。不思議なことにこの順は後手が指せるのではないかと言われている。従って（２）▲７五歩△５六銀▲７四歩の攻め合いが検討されている。
手数 70: 畠山は２４分考え、銀を打つのではなく、出た。
ここまでの消費時間は▲北浜４時間１２分、△畠山鎮５時間１４分。
手数 71: 冷静な馬引き。▲１四歩と▲７四歩が狙い。
手数 73: 駒損が回復できる先手が指せるようだ。
手数 74: 桂馬を取られるまでに反撃を開始。
手数 77: この手が２五の銀取りにもなっている。
手数 80: 棋士室では▲７五桂が予想されている。以下△５五銀打なら▲６三桂成△同金▲同飛成△同銀に▲５六歩が後手の攻め駒を責めながら自玉の懐を広げる好手。先手側を持って検討している豊島三段がノータイムで▲５六歩を指すと、周囲から感嘆の声が漏れた。
手数 86: この手に代えて△７六桂は▲７九玉と引き（▲５九玉もある）、△６三銀に▲６五馬が王手桂取りで無効。
手数 87: 棋士室で予想した順そのままに進んだ。「これははっきりしたんじゃないでしょうか」（久保八段）
手数 88: 銀を逃げると▲５五桂の追い討ちがあるので△７六歩と打った。
手数 98: 残り時間は北浜１時間１分、畠山鎮２３分。
手数 99: △４五同銀▲同歩△５六香▲同馬△同桂の局面が、先手玉に詰めろがかかっていないため先手が勝っている、と棋士室の検討だ。
手数 107: 棋士室の見解通りの展開。
手数 113: この局面で畠山鎮が４分考えて、次の手を指さずに投了した。後手は７五の角を取られてしまっては攻める手段がなくなってしまい、投了もやむを得ない。消費時間は▲北浜５時間２１分、△畠山鎮５時間５０分。勝った北浜は３連勝、敗れた畠山鎮は１勝２敗となった。
