先手: 真部 一男八段
後手: 中村 亮介四段
手数 1: いきなり、挑発の出だし。
手数 2: 中村、１３分の考慮で先手と同じく△４四歩。２手目にして異様な雰囲気が盤上に漂う。
手数 10: 中村は三間飛車。
手数 15: 足早に歩交換。
手数 32: △１五歩の局面で真部が１２分考えて昼食休憩に入った。消費時間は真部が１時間２８分、中村が２８分。
手数 33: 真部はクラシックな金無双の形へ。中村は雁木や矢倉を目標としたカニ囲い。
手数 37: 陣形のバランスを取る。
手数 41: 真部の陣形は立石流に似ている。
手数 43: １４時３０分の局面。消費時間は真部が２時間８分、中村１時間４分。
手数 44: 攻め駒を押さえ込むつもり。
手数 46: 中村の指し手は力強い。
手数 49: １６時の局面。消費時間は真部が２時間４２分、中村が１時間５３分。
真部、玉頭から意表の打開。
手数 54: △８三角や△５四角のような筋が生じている。
手数 57: 形を整える。
手数 60: 銀をさばいて成功。
手数 64: １７時半の局面。
手数 66: ▲同銀は△５五角。厳しいたたきの歩。
手数 68: 両取りがかかった。
手数 76: ▲同玉は△２六飛。かといって他の手も難しく真部の投了となった。終局時刻は１７時５８分。消費時間は真部３時間４１分、中村２時間５１分。
勝った中村、敗れた真部ともに２勝３敗となった。
