先手: 室岡 克彦七段
後手: 佐藤 和俊四段
手数 3: 何でも指しこなす研究家の室岡。対戦相手の佐藤が振り飛車党なので居飛車にする。
手数 17: 先にしっかりした形を組んでから穴熊を目指す。場合によってはこのままで戦いにできる。
手数 22: 佐藤、得意の石田流を目指す。
手数 23: ▲５七銀で佐藤は１６分考えて昼食休憩に入った。ここまでの消費時間は室岡４４分、佐藤１時間１４分。昼食の注文は室岡はなし、佐藤はざるそば。
手数 27: ３筋の歩交換は構わないと見ている。
手数 30: 後手も３筋の交換はせずに端歩を伸ばす。間合いの計りあいといったところ。
手数 31: １５時過ぎの局面。消費時間は室岡２時間６分。佐藤１時間５２分。
手数 32: 金が動いたのを見て歩を交換する。
手数 39: 穴熊が完成した。
手数 42: １６時４５分の局面。消費時間は室岡２時間２７分。佐藤３時間。
手数 45: ここで、佐藤が４１分考えて夕食休憩に入った。消費時間は室岡３時間１４分。佐藤が３時間４３分。
手数 52: 夕食休憩後から局面が激しくなった。
手数 56: ２０時３０分の局面。消費時間は室岡４時間１１分、佐藤４時間１分。
手数 67: 消費時間は室岡４時間４１分。佐藤４時間３０分。
手数 97: 終了時刻は２３時１０分。
消費時間は室岡５時間３４分。佐藤５時間８分。
