先手: 北浜 健介七段
後手: 鈴木 大介八段
手数 1: ピシリと▲７六歩。
手数 2: 鈴木は振り飛車党。△８四歩はありえない。
手数 3: 北浜は居飛車党。
手数 6: ゴキゲン中飛車の生みの親は近藤だが、育ての親は鈴木だ。
手数 7: 丸山ワクチンといわれる手。「振り飛車には角交換」と「角交換には５筋を突くな」という格言にのっとる手と言える。
手数 9: 佐藤新手といわれている。
手数 10: 端を受けないで△６二玉もあるが、端を詰められる美濃囲いは率が悪いと見た。
手数 11: 新丸山ワクチン。
手数 12: 遠山流といわれている手。△５五歩と突けるようにした（▲６五角が両取りではなくなったから）。
手数 14: ８月に行われた、Ｂ級１組順位戦の▲行方−△鈴木戦では△５五歩と突いていた。勝った鈴木はさらなる新工夫を見せる。
手数 15: ▲４八銀△５五歩▲６六歩△５六歩▲同歩△同飛▲６七銀のような展開だと、左美濃に組めない。△５五歩▲６六歩△５六歩の展開なら、左美濃に組む余地が残っているわけだ。最新形といえる。
手数 16: 歩の交換ができれば大きなポイントだ。ここで▲２四歩は△同歩▲同飛△５六歩▲同歩△３五角の王手飛車でアウト！
手数 17: ▲６七金と上がるつもり。
手数 23: 先に▲７九玉は△５七角のような強襲があるかもしれない。
手数 26: 後手の囲いは金美濃囲いという。
手数 28: △３三銀の局面で北浜が３６分考えて昼食休憩に入った。消費時間は北浜が１時間３１分、鈴木が２８分。
先手玉が△３五角のラインから逸れたのを見て△３三銀と受ける。
手数 29: 昼食休憩を挟んで３６分の考慮で手堅く歩を打つ。どのような構想を立てたのだろうか。
手数 32: 次に△４四銀を可能にして、軽い形を目指した手。
手数 35: １４時過ぎの局面。消費時間は北浜が１時間３２分、鈴木が１時間６分。
手数 36: ３５分の長考で△３五歩。歩の交換を狙いポイントを稼ぎに行く。北浜の考慮中に１５時が過ぎた。
手数 37: ８１分の長考で取った。どこまで先を読んだのだろうか。
手数 39: 一手パスのようにも見えるが。
手数 40: 次に△３七歩成▲同桂△３六歩が狙い。
手数 41: １６時頃の局面。消費時間は北浜が３時間１分、鈴木が１時間５９分。
北浜は▲１七角と「遠見の角」を放ち、この手に期待をかける。銀の受け方が意外に受けにくそうだ。△４四銀は▲３六銀。△４四角は▲４五歩△５三角▲５五歩のような狙いがある。
手数 42: ４１分の長考で角を打ち込む。飛車が逃げてくれれば、△３九角は▲１七角と相殺になる。後手のほうがうまくいったか？
手数 43: 飛車は逃げるしかない。
手数 45: ▲１七同香の局面で鈴木が３７分考えて夕食休憩に入った。消費時間は北浜３時間２７分、鈴木３時間３７分。
単に▲３八飛とするよりも、香を上がっておくのが得とみたか。
手数 46: ３八の飛車が利いているので避ける。３二金は２筋からの飛車の攻めに備えているので、現在は３二にいる必要がない。
手数 47: 位を取り、▲６六角のような手を見せる。
手数 48: 馬作りを目指す。
手数 50: △４九角成は▲７五角△５二金▲５八銀で馬が詰んでしまう。
手数 52: △３六歩が残っているので、先手は忙しい。
手数 53: 先に桂馬をさばいておく。
手数 54: ２０時の局面。消費時間は北浜が４時間２０分、鈴木が３時間４３分。
手数 55: 飛車で受けつつ、銀交換を狙う。
手数 56: 先手の桂損が確定した。
手数 59: 先手の飛車はさばけた。
手数 60: これで桂得。馬も作り、後手優勢。
手数 61: 遠く自陣にも利く攻防の角打ち。
手数 64: 厚く受ける。この銀は△５六銀と出る含みあるので、遊ばない。
手数 65: ２１時の局面。残り時間は北浜が５８分、鈴木が２時間８分。
△３三桂が味よさそうな手だ。角を封じ込めながら、遊び駒を活用する。
手数 66: 味がいい手。この桂を味良くさばければ気持ちがいい。
手数 67: 中央を抑えに行く。
手数 69: 二枚換えを狙う。
手数 71: 二枚換えながら、元々桂損していたので、角銀交換になっている。
