先手: 島本 亮四段
後手: 村田 智弘六段
手数 1: 島本の今期成績は２勝４敗（０．３３３）。通算成績は９９勝１３５敗（０．４２３）。
手数 2: 村田智の今期成績は０勝３敗（０．０００）。通算成績は１５８勝１４２敗（０．５２７）。
手数 3: 島本は居飛車党。先手番では矢倉が得意。
手数 4: 村田智は居飛車党。後手番では一手損角換わり、うそ矢倉などを得意としており、時折ゴキゲン中飛車をみせることもある。
本局の村田智は、その時折見せるゴキゲン中飛車を採用するようだ。
手数 5: 島本は順位戦はこれが９期目。前期２度目の降級点がつき、いよいよ後がなくなった。しかしまだ３１歳と若く、その攻めには定評のある島本。これから十分に巻き返すチャンスがあるだろう。まずは今期順位戦で、７期ぶりの勝ち越しを狙いたい。
手数 6: 村田智は順位戦はこれが１０期目。常に安定した成績で、順位戦もこれまで５割以上の星を残しているが、前期は不覚にも降級点となってしまった。今期順位戦も黒星スタートとなったが、４月に３０歳になったばかりの村田智。ここは一つ、「３０代の逆襲」と行きたいところだ。
手数 7: 島本は現在公式戦通算９９勝。後１勝で昇段規定の「四段になってから１００勝」に到達し、五段への昇段となる。五段に王手を掛けてから２局足踏みしているが、本局で勝利し「３度目の正直」と果たしてなるか。
手数 8: 村田智の作戦はゴキゲン中飛車。
手数 9: 対して超速▲３七銀戦法をよく用いていた島本だが、本局ではじっと玉を寄った。
手数 11: これは旧型の急戦、または押さえ込みを狙う指し方だ。
手数 13: １１時頃の局面。ここまでの消費時間は▲島本１０分、△村田智１３分。
手数 14: この手で△４二銀とすると、先手に▲５六歩と突き出す手が生じる（△同歩は▲２二角成）。細かい所だが、村田智は細心の注意を払っている。
手数 17: 島本はこれで囲いは完成。この後左右どちらの銀を使っていくかで展開が分かれる。また▲３六歩〜▲３七桂と桂を使っていく順もある。
手数 19: この局面で村田智が４８分考えて昼食休憩に入った。ここまでの消費時間は▲島本２１分、△村田智１時間３９分。
手数 20: 村田智は▲６六銀に△５四銀や△６四銀で対抗できるようにした。
手数 21: 島本は歩越し銀で揺さぶりを掛ける。△４四銀や△５五銀と受けるのは▲２五銀であまり効果がない。
手数 22: 村田智は先手の銀が３四に出てくることを想定し、早めの金上がりで２筋〜４筋を手厚くした。
手数 24: △３二金と先に上った効果で、▲３四銀が怖くない。
手数 25: 島本は２枚目の銀を繰り出していく。
手数 27: すぐの突破は無理なので、島本は３筋の歩交換に出た。
手数 29: ▲３六同銀でなく、飛車で歩を取り返しに行く。
１４時頃の局面。ここまでの消費時間は▲島本４６分、△村田智１時間４９分。
手数 30: 村田智は狙われそうな角を先に逃がした。
手数 31: ４五の銀が目標を失くしたので、島本はその銀を立て直しながら歩を取った。
手数 32: すぐに指すかどうかは分からないが、この手は２六の歩に当たっている。
手数 33: 島本は２六の歩を守りつつ、力強く銀を進出させた。
１５時頃の局面。ここまでの消費時間は▲島本１時間１３分、△村田智２時間１６分。
手数 34: 玉のコビンを開ける手だが、△７五歩の攻めや、△８四角と活用する順をみている。
手数 35: 次に▲４六銀と引く味がいい。
手数 36: ここでも村田智は先に受ける。次の▲４六銀と引かれた手が、先手の飛車筋が通る形となり気持ちが悪い。また間接的に通る先手の角筋を遮った意味もあるだろう。
手数 37: △５六歩を防ぎながら、▲３七桂の活用を見せた。
手数 38: 村田智は何とここで穴熊を目指した。
１６時頃の局面。ここまでの消費時間は▲島本１時間４０分、△村田２時間５９分。
手数 39: 次に▲５五銀右や▲５五銀左と歩を取りながら中央を支配しに行く手がある。
手数 40: 後手は５筋をやすやすと明け渡すわけには行かない。
手数 41: 島本は出てきた角の頭を小突きに行く。以下△７五同歩▲７四歩△８四角▲５五銀右と進めば先手成功と言えるだろう。
手数 42: 村田智はここも大胆に、７筋を手抜いて穴熊に潜った。
手数 44: 村田智は角で穴熊のハッチを閉めた。居飛車穴熊では角で閉める形をたまに見かけるが、振り飛車穴熊では相当珍しいだろう。
この手は仕方なしの手ではなく、次に△７二飛から７筋の逆襲を見ている。
手数 45: 端攻めというより、▲９七角を作った手。
手数 46: 村田智は角に続き飛車を穴熊にドッキングさせた。
ただこの瞬間先手に桂が入ると、▲９五桂という恐ろしい手が飛んでくる。それに対しては△７三桂か△７三角か△７三飛しか受けがないというから更に恐ろしい。しかし今すぐには先手に桂が入ることは無さそうなので大丈夫だ。
手数 47: １７時頃の局面。ここまでの消費時間は▲島本２時間４１分、△村田智３時間２分。
手数 48: 先に王手をしたのは村田智の方だった。
手数 49: 島本は低く受ける。▲７五歩なら飛車取りの先手だが、角筋が止まる上、７六の地点の空間や、△７七歩の叩きなどが大いに気になる。
手数 50: 先ほどまでは島本が後手の角を責めていたが、今度は村田智が先手の角を責めようとしている。
手数 52: 村田智は穴熊＋美濃囲いの珍形を築く。しかしこれは美濃囲いを作ったというより、８三の地点を補強しに行ったものだろう。
手数 54: この局面で島本が５分考えて夕食休憩に入った。ここまでの消費時間は▲島本３時間８分、△村田智３時間４６分。
手数 58: 村田智は執拗に角を攻めて行く。
手数 60: この手で△９五同香は▲６四角△同歩▲９五香で先手有利。
手数 62: 後手陣は居飛車＋振り飛車穴熊のような形になっている。
手数 67: ２０時頃の局面。ここまでの消費時間は▲島本３時間１９分、△村田智４時間２１分。
手数 68: 村田智は９五の歩を飛車で取り払おうとしている。
手数 69: 島本はここ数手、必死に立て直そうとしている。もはや急戦に出た面影は全く残されていない。
手数 70: 振り穴側からここまで９筋や８筋を攻めかかることも珍しいだろう。
手数 73: 島本は▲９七同桂と応じる。▲９七同香は△９六歩▲８六金△９七歩成▲９五金△同香で後手良し。
手数 74: 村田智はじっと桂跳ねを消す。
手数 75: △９六歩を受けるためには、先手で飛車を追うよりない。
手数 77: 先手陣はすごい形になったが、現実的な駒損は免れた。
手数 78: 村田智は７筋に飛車を振り戻す。
手数 80: 一転して自陣に手を入れだした。
手数 81: 居飛車の棒銀対袖飛車戦に出てくるような玉の早逃げ。
手数 84: 村田智は銀冠穴熊を完成させた。しかし依然８二にいる駒は角である。
手数 85: 島本は切れることなく自陣を立て直していく。
手数 86: ついにこの飛車が５筋へ帰ってきた。
手数 88: これは６四の銀を引っ張ってこようというものか。一時期攻勢を取っていた村田智だが、現在はあまり攻め手がないようだ。
手数 89: ９七の桂が働きそうな展開となってきた。
手数 91: 島本はガツンと銀をぶつけていく。△６五同銀▲同金は３六の飛車の横利きも通ってきて、先手の模様が良さそうだ。
手数 94: 穴熊に入ったのか、それとも入らされたのか・・。
手数 95: 島本はいよいよこの桂馬を使っていった。
手数 96: ２２時過ぎの局面。ここまでの消費時間は▲４時間３３分、△５時間２０分。
手数 100: 村田智の勝負手。銀を自陣に呼び込むが、△３四飛の飛車ぶつけで勝負しようとしている。
手数 105: 飛車を渡すと自陣はひとたまりもない。島本は６筋に飛車を逃げた。
手数 107: △４九竜は▲５九金で竜が詰む。
手数 108: 村田智は△２九龍は先手陣への響きが薄く、攻め合われて負けと見た。これは竜を自陣へ引いて粘りに出た手だ。
手数 109: ここで島本は総攻撃を開始した。
手数 112: 村田智は間接的に飛車に狙われている角で清算に出た。
手数 115: 島本はついに飛車の成り込みに成功した。
手数 117: 次に▲９三歩成△同香▲同香成△同銀▲８五桂のような攻めがある。
手数 118: 村田智はここで遅まきながら攻め合いに出た。
手数 119: 島本は一旦は金を逃げた。
手数 120: ▲９八同香に△８七銀の待ち駒が狙い。
手数 121: ２３時頃の局面。ここまでの消費時間は▲島本４時間４１分、△村田智５時間３０分。
手数 122: 村田智は８七ではなく８九から銀を打った。
手数 127: 狙いの▲８五桂が実現。島本が勝勢となっているようだ。
手数 128: 驚きの一手。後手は金を持てば△７八金までの詰みがある。
手数 129: しかし島本は落ち着いて銀を取った。△７五龍は▲８二銀までの詰み。
手数 131: △９四同竜は▲９五香。遠く６八の角が利いている。
手数 133: 島本は根元の桂を外しに行った。
手数 135: 先の▲５六歩は▲６八〜▲５七〜▲４７の逃げ道も作っていた。
手数 138: この手は詰めろになっていない。
手数 139: この局面で村田智の投了となった。
投了図以下は△９三同竜には▲７三角成があり、また先手玉に詰みはなく投了もやむを得ない。
終了時刻は２３時２６分。消費時間は▲島本４時間５９分、△村田智５時間４１分。勝った島本は１勝１敗、敗れた村田智は０勝２敗となった。
