先手: 田村 康介六段
後手: 室岡 克彦七段
手数 8: 室岡は得意の四間飛車。
手数 17: 田村は持久戦模様ながら、端歩を受けた。こうすると穴熊の可能性は少なくなる。
手数 22: １１時の局面。消費時間は田村２１分、室岡１７分。
手数 23: ４４分の長考。
手数 27: 田村の作戦は左美濃。
手数 28: △７四歩の局面で田村が１３分考えて昼食休憩に入った。消費時間は田村１時間１８分、室岡４３分。
手数 29: 珍しい手。ここでは▲６六歩から駒組みを進めるのが普通。田村は角筋を止めないで駒組みを進めるつもりだろう。
手数 30: ４３分の長考。
手数 31: １４時過ぎの局面。消費時間はともに１時間２６分。
手数 34: 銀冠は手厚い好形。
手数 38: 振り飛車は居飛車側の飛車のコビンや先手玉を狙うために６四に角を置く形にしたい。
手数 39: １５時半ごろの局面。消費時間は田村１時間４６分、室岡２時間１８分。
手数 46: △４二角〜△６四角を狙う。
手数 49: 先に６四の地点を利かす。
手数 50: 角筋は避けよ。
手数 53: １６時４５分の局面。消費時間は田村２時間４分、室岡３時間１７分。
手数 54: 単に△２四同角は▲２八飛とされて効果がない。△２七歩は▲２八飛を消している。
手数 55: ▲２三歩成を狙う。△３三桂なら△２四角の筋が消え、△６四角なら▲５五歩△同角▲３七角とぶつけて勝負するつもりだろうか。
手数 57: １７時４０分の局面。消費時間は田村２時間２０分、室岡３時間５４分。
手数 64: △２四角の局面で田村が２１分考えて夕食休憩に入った。消費時間は田村２時間４１分、室岡４時間１３分。
手数 67: 取れば▲４二角。
手数 73: 田村はごつく攻めていく。
手数 79: ２０時の局面。消費時間は田村２時間４３分、室岡４時間３９分。
手数 80: 室岡は△９五香に２８分の考慮で残り５３分。
手数 88: ２１時過ぎの局面。消費時間は田村２時間５９分、室岡５時間１３分。
手数 95: 攻防の香打ち。
手数 97: 先手を取るための犠打。
手数 100: 遊んでいる駒を使うが。
手数 110: 室岡はここから１分将棋。
手数 119: △同玉は▲７一角△８二歩（△８三玉は▲７五桂）▲９四金で詰む。
手数 120: ２２時２０分の局面。残り時間は田村２時間２０分、室岡１分。
手数 123: △同玉は▲７五角成△６三玉▲７四角△６二玉▲６三銀で手数は長いが詰み筋。
手数 129: 以下は詰み。室岡の投了となった。終局時刻は２２時２６分。消費時間は田村３時間４１分、室岡５時間５９分。勝った田村は５勝２敗、敗れた室岡は０勝７敗となった。
