先手: 野月 浩貴七段
後手: 畠山 成幸七段
手数 10: 相矢倉の出だしになった。畠山成は長らく振り飛車（特に四間飛車穴熊）を多く指していたが、最近は居飛車も指している。
手数 18: 通常の▲７六歩△８四歩の出だしの矢倉と比べて、先手が飛車先の歩を突いており、後手が△８四歩を保留しているのが違うところ。
手数 20: １１時頃の局面。ここまでの消費時間は野月２４分、畠山成２７分。
手数 25: 先手は早囲い。
手数 28: この局面で野月が２７分考えて昼食休憩に入った。ここまでの消費時間は▲野月１時間１２分、△畠山成４６分。
手数 32: １４時頃の局面。ここまでの消費時間は▲野月１時間３３分、△畠山成１時間２６分。
手数 35: １５時頃の局面。ここまでの消費時間は▲野月１時間５４分、△畠山成２時間２分。
手数 39: １６時半ごろの局面。ここまでの消費時間は▲野月２時間１７分、△畠山成２時間４２分。
手数 48: ▲６五歩△７三角の交換を入れることで、先手が一手得。角が６四→１九と一手で行けるところを、７三を経由している。
手数 50: ８六桂は先手から▲８六歩と取ってくれれば△同歩で先手陣に脅威を与えるが、このままではお荷物になる。後手は何か駒を手に入れて７八に打ち込むような展開にしたい。
手数 51: この角出があるのが、▲６五角と突いた利点。
手数 54: この局面で野月が１１分考えて夕食休憩に入った。ここまでの消費時間は▲野月３時間０分、△畠山成３時間５４分。
手数 60: ２０時頃の局面。ここまでの消費時間は▲野月３時間２３分、△畠山成４時間１６分。
手数 62: ６六角より馬の存在価値が高いとみている。
手数 63: がっちりと。堅い。
手数 71: 駒損になるが、歩切れの相手に歩を渡すのを嫌ったか。
手数 74: ２１時過ぎの局面。ここまでの消費時間は▲野月４時間１４分、△畠山成４時間４２分。
手数 77: パズルのように金が動き回る。
手数 78: 竜が間接的に玉を睨んでいるので、ほどきにくい。
手数 80: ２２時頃の局面。ここまでの消費時間は▲野月４時間４０分、△畠山成４時間４６分。
手数 94: ２３時頃の局面。ここまでの消費時間は▲野月５時間５分、△畠山成５時間２６分。
この局面で野月は１８分考え、次の手を指さずに投了した。消費時間は▲野月５時間２３分、△畠山成５時間２６分。勝った畠山成は２勝２敗、敗れた野月は１勝３敗となった。
