先手: 平藤 眞吾六段
後手: 勝又 清和五段
手数 1: 平藤は初手に２分使った。
手数 2: ３分考えて△３四歩。
手数 4: 相振り辞さずの構え。
手数 5: 互いに小考を繰り返す。どの作戦を選ぶかの駆け引きが始まっている。
手数 7: 平藤の四間飛車になった。
手数 12: 急戦党の勝又、端歩の打診。▲１六歩なら穴熊の可能性は薄くなる。
手数 17: 端の位を取られたので、穴熊にする。
手数 19: ▲１九玉の局面で勝又が１５分考えて昼食休憩に入った。消費時間は平藤が３７分、勝又が１時間２５分。
手数 20: 穴熊が不完全なので、急戦を見せる。
手数 21: １４時の局面。消費時間は平藤が１時間２３分、勝又が１時間２５分。
▲２八銀は４６分の長考。この銀上がりを俗に「ハッチを閉める」という。この銀が上がれれば、王手がかからない形なので一応、一安心といえる。
手数 22: 早くも仕掛ける。
手数 23: 「戦いの起こった場所に飛車を振る」のは振り飛車の基本。
手数 28: 持久戦を目指す。６八の金は後手からの急戦を防いでいるので、先手はこれ以上固めにくいだろうというのが後手の主張か。
手数 32: 一歩持って満足。
手数 37: ▲３八飛から玉頭方面を攻める構想を含みにしている。
手数 38: この場合の手筋。次に△８四飛がある。
手数 39: △８四飛には▲８六歩を用意。
手数 40: １５時頃の局面。消費時間は平藤が１時間３９分、勝又が１時間４７分。
▲７七角を見て、歩を合わせる。先手の飛車が重くなったので、今度は▲７五同歩△同銀▲７六歩は△同銀で優勢になる。
手数 41: ５３分の長考。
手数 42: ５段目に銀が進出できれば、一応成功。
手数 43: １６時１５分の局面。消費時間は平藤が２時間３４分、勝又が１時間４９分。
平藤は穴熊らしい焦土戦術に出る。以下、▲３五歩△同歩▲４六金から玉頭を攻める狙いだろう。▲６八角の援軍もあるので、かなりの迫力だ。
手数 45: 左辺は苦しい。
手数 51: あたりを強める手筋。単に▲３五金では△３四歩で攻めにならない。
手数 53: △同銀は▲同飛で７五の銀があたる。
手数 54: １７時３０分の局面。消費時間は平藤が３時間１２分、勝又が３時間３分。
手数 59: 軽い飛車浮き。△７四飛などなら▲２五飛で決まる。
手数 62: ここ数手、屈服の指し手が続く勝又。左辺ではポイントを稼いでいるので、やがて来る春を待つ。
手数 63: 厳しい。△６四歩が自然な受けだが、銀が落ちてしまう。
手数 64: △５五歩の局面で平藤が１６分考えて夕食休憩に入った。消費時間は平藤が３時間３２分、勝又が３時間２２分。
「大駒は近づけて受けよ」と「焦点の歩」の手筋。
手数 68: 玉に近い、うるさい駒を除去しに行く。
手数 76: ２０時前の局面。消費時間平藤が３時間３８分、勝又が３時間４５分。
手数 84: 飛車がさばけた。
手数 87: △同銀は▲６三馬。厳しい。
手数 88: 全ての駒が使えているので、まだまだ大変。
手数 91: △３三桂が見えているが。
手数 92: 両取りだが。
手数 93: 遊び駒を使う。
手数 94: ２１時の局面。残り時間は平藤が１時間３６分、勝又が２時間２分。
手数 95: 「両取り逃げるべからず」で一気に決めるつもりだ。
手数 99: ２１時４５分の局面。残り時間は平藤が１時間１２分、勝又が１時間２７分。ギリギリの一手争いになった。
手数 109: 強烈な一打。
手数 111: 以下、△１二玉に▲３一馬△２三金▲３三角で一手一手。終局時刻は２２時１５分。消費時間は平藤４時間５４分、勝又４時間５６分。
