先手: 平藤 眞吾六段
後手: 村山 慈明五段
手数 5: 平藤の傍らには、上着とマフラーが折り目正しくたたまれて置かれていた。背筋がピンと伸びた対局姿も美しく、清潔感に溢れている。
手数 14: ここで△８八角成▲同銀△３三角は▲８七歩や▲２一飛成の攻め合いで先手が良いようだ。事実、角交換から△３三角と打った前例は無い。
手数 16: １０時５０分頃の局面。消費時間は平藤１６分、村山１６分。
手数 17: ここで平藤は横歩を取らずに飛車を一つ引いた。
手数 21: ここで村山が１７分使って昼食休憩となった。消費時間は平藤５７分、村山１時間２分。昼食の注文は平藤がうま煮定食。村山が山菜そば。
手数 24: １４時２０分頃の局面。消費時間は▲平藤１時間３１分、△村山１時間３８分。
手数 33: １５時２０分頃の局面。消費時間は▲平藤２時間１２分、△村山１時間５９分。先手は１筋の歩を突き越して▲４八金と上がり、まるで右玉のような構え。
手数 35: ３９分の考慮で指された。
手数 37: １６時２０分頃の局面。消費時間は▲平藤２時間５７分、△村山２時間９分。
３３手目の局面では右玉のようだと書いたが、ここでは腰掛け銀になった。先手は５八玉のまま開戦を迎えるのだろうか。
手数 41: 左へ行っても相手の飛車と自陣の壁が待つばかり。先手玉は右辺に居を求める。
手数 44: １７時３０分頃の局面。消費時間は▲平藤３時間１８分、△村山２時間４３分。ここ十手ほどは、お互いに少考を繰り返しながらの応戦となっている。
手数 47: ここで村山が２９分考えて夕食休憩となった。消費時間は▲平藤３時間２３分、△村山３時間３３分。夕食の注文は村山がとろろせいろ。平藤は注文なし。
先手は７九の銀を活用したい。
手数 50: いよいよ戦いが始まりそうだ。
手数 57: １９時５０分頃の局面。消費時間は▲平藤３時間４２分、△村山３時間５４分。
手数 66: 壁形を解消しつつ根元の歩を取り去らう。
手数 83: ２０時５０分頃の局面。消費時間は▲平藤４時間１０分、△村山４時間１８分。控え室の評価は先手良し。６２手目に△５四銀と躱すようでは辛いとのこと。
手数 85: ８筋は相手にせず中央で勝負。
手数 88: ２１時３０分頃の局面。消費時間は▲平藤４時間２９分、△村山４時間３３分。▲４五角と打たれては厳しいので桂跳ねで受ける。
手数 94: ２２時３０分頃の局面。消費時間は▲平藤４時間５５分、△村山５時間１分
手数 101: この手は▲３二龍の詰めろ。△４五銀と金と外しても▲３二龍△４四玉▲４三金で詰んでしまう。
