先手: 飯塚 祐紀六段
後手: 泉 正樹七段
手数 5: 相矢倉模様の立ち上がり。
手数 16: 定跡形からは外れる。
手数 18: ここまでの消費時間は飯塚１５分、泉１０分。
手数 27: １１時半頃の局面。ここまでの消費時間は飯塚１時間０分、泉１４分。
手数 29: ここで昼食休憩。消費時間は飯塚１時間１４分、泉３９分。
昼食の注文は両者ともになし。
手数 32: １３時４５分頃の局面。ここまでの消費時間は飯塚１時間２７分、泉４４分。
手数 38: １４時４５分頃の局面。ここまでの消費時間は飯塚２時間１４分、泉５５分。
手数 44: 手に乗って行動。
手数 47: １５時４５分頃の局面。ここまでの消費時間は飯塚３時間０分、泉１時間３５分。
手数 52: 盤上のあちこちで戦いが起こるのが矢倉戦。
手数 54: １６時４５分頃の局面。ここまでの消費時間は飯塚３時間１８分、泉１時間５８分。
手数 58: １７時半頃の局面。ここまでの消費時間は飯塚３時間４８分、泉２時間１９分。
手数 59: 一気に終盤戦に。
手数 61: ここで夕食休憩。消費時間は飯塚４時間６分、泉２時間３９分。
夕食の注文は、飯塚はきつねうどん。泉はなし。
手数 64: １９時２０分頃の局面。ここまでの消費時間は飯塚４時間９分、２時間４０分。
手数 71: ここまでの消費時間は飯塚４時間４４分、泉２時間４５分。
手数 95: ２１時頃の局面。残り時間は飯塚５７分、泉２時間４４分。
手数 98: ２１時半頃の局面。残り時間は飯塚５５分、泉２時間１４分。
手数 119: 泉は１分考えて、次の手を指さずに投了した。終了時刻は２２時９分、消費時間は飯塚５時間２７分、泉３時間５９分。勝った飯塚、敗れた泉は、ともに３勝４敗となった。
