先手: 田村 康介六段
後手: 中尾 敏之四段
手数 14: 先手が歩交換を目指せば、銀冠に組む構想。
手数 23: 歩交換を保留。
手数 26: これで、先手からの歩交換はなくなった。
手数 29: しかし、先手は早囲いに組み、別の場所で主張を作った。
手数 46: △２四同歩の局面で田村が１７分考えて昼食休憩に入った。消費時間は田村が３１分、中尾が１時間２２分。
手数 47: 昼食休憩後すぐに仕掛ける。△６五歩が角筋を通して絶好の一手になるので、将来の角の利きを悪くする手筋。
手数 48: ここで△６五歩と攻め合う手もある。
手数 56: ▲同香は△９四歩▲同歩△９五歩。
手数 60: 激しい攻めあいになった。
手数 63: １４時３０分の局面。消費時間は田村が４６分、中尾が２時間１２分。
▲２二歩はあたりを厳しくする手筋。△同玉は危険地帯に近づくのでやりにくい。
手数 64: １時間４１分の長考。
手数 65: 一旦受ける。玉の逃げ道もできた。
手数 67: これも手筋。あたりをきつくする。
手数 71: これが金取りになるのが、▲２三歩の効果。
手数 73: 銀を一気に２三までさばいてしまった。迫力のある攻め。
手数 79: 次に▲６五歩を狙う。
手数 83: ▲６六同角の局面で中尾が７９分考えて夕食休憩に入った。消費時間は田村が１時間９分、中尾が５時間３５分。中尾は残り２５分だ。
銀損になるが、先手を取るのが大きいと見たか。
手数 84: １時間２４分の長考。
手数 90: 詰めろだが。
手数 93: これで受かっている。
手数 97: △同飛は▲６七香△７六飛▲７七歩△７五飛▲６二香成で負け。
手数 103: 投了以下は△５二玉▲３四銀成△同金▲６三金△５一玉▲５二歩△６一玉▲７三金で寄り筋。終局時刻は１９時４０分。消費時間は田村１時間１５分、中尾５時間５８分。
