先手: 田丸 昇八段
後手: 小林 裕士六段
手数 29: １１時過ぎの局面。ここまでの消費時間は▲田丸３１分、△小林裕１５分。本日の関西では唯一の矢倉戦。
手数 34: この局面で田丸が１５分考えて昼食休憩に入った。ここまでの消費時間は▲田丸１時間２１分、△小林裕３３分。
手数 37: １４時頃の局面。ここまでの消費時間は▲田丸２時間４分、△小林裕３７分。田丸はこの一手に４１分費やしている。
手数 46: １５時頃の局面。ここまでの消費時間は▲田丸２時間３３分、△小林裕１時間３分。
小林裕は、わかりやすく棒銀の狙い。
手数 52: １６時頃の局面。ここまでの消費時間は▲田丸３時間８分、△小林裕１時間３４分。
手数 59: １７時頃の局面。ここまでの消費時間は▲田丸３時間３８分、△小林裕１時間３８分。
手数 67: ▲２二歩〜▲４五銀が「筋に入った」攻め。これで後手は困っている。
手数 71: 「これでどうしようもなくなりました」と局後の小林裕。
手数 72: 飛車を取るのは攻めが切れないと見て、桂馬を外した。
手数 76: 「大丈夫かいな」と悲鳴があがる棋士室。
手数 77: ▲３五角△同金▲同飛も検討されていたが、田丸は角を打ち込んだ。
手数 78: この局面で田丸が１７分考え、夕食休憩に入った。ここまでの消費時間は▲田丸４時間２１分、△小林裕２時間２１分。
手数 83: 田丸は感想戦で△４四飛を心配していたと話したが、▲２四歩△１三玉▲４四飛成で先手勝ち筋。金の利きが３五からなくなれば▲３五角が厳しい。
