先手: 室岡 克彦七段
後手: 片上 大輔四段
手数 5: 室岡は藤井システム調の四間飛車が多い。
手数 22: △７四歩と急戦調に歩を突くのは先手に▲４八玉と上がって欲しいから。１〜４筋で戦いが起こったとき、先手の玉は４八よりも５九のほうが安全なことが少なくない。
手数 25: ▲３九玉の局面で片上が２４分考えて昼食休憩に入った。消費時間は室岡が３９分、片上が１時間１８分。
手数 26: 昼食休憩後、片上は穴熊を目指すべく香車を上がる。
手数 27: 居飛車が７筋（居飛車が先手なら３筋）の歩を突いてから穴熊を目指すときは、その歩に働きかけるのが、藤井システムの指し方の一つ。
手数 28: 部分的には先後逆で見かける形。その場合は▲４六歩が突いてない。
手数 31: １４時の局面。消費時間は室岡が１時間１２分、片上が１時間３６分。
手数 33: △２二銀と安定する前に攻める。
手数 36: ▲７四歩に△６三金を用意。先後逆で４六歩が突いてない形で定跡化された手順。
手数 37: １５時１５分の局面。消費時間は室岡が２時間１０分、片上が１時間４９分。
手数 41: 割り打ちが見えているが、強気に取り込む。
手数 42: １６時３０分の局面。消費時間は室岡が３時間１分、片上が１時間５５分。
手数 43: こうなると互いに一歩も引けない攻め合いとなる公算が高い。
手数 44: ４３分の長考。
手数 51: １７時３０分の局面。消費時間は室岡が３時間３０分、片上が２時間４４分。
一直線の凄い攻め合いになった。
手数 55: 激しい駒の取り合い。
手数 58: △７九飛の局面で室岡が３４分考えて夕食休憩に入った。消費時間は室岡が４時間４分、片上が２時間４７分。
駒の損得はなし。穴熊の遠さが生きるか、端を突きこした美濃囲いの広さが生きるか。
手数 59: 夕休をはさみ４３分の長考。
手数 60: この銀がさばけそうなのは大きい。
手数 62: １９時３０分ごろの局面。消費時間は室岡が４時間１３分、片上が３時間７分。
焦点の歩。どう応じても、６九の成銀が働いてくる。後手が有利になったか。
手数 70: 穴熊らしい受け。
手数 72: 味よく歩切れを解消する。
手数 76: 俗手で攻める。
手数 77: 手順に６九の底歩も守る。
手数 84: こうなると、穴熊の固さが目立つ。
手数 88: 残り時間は室岡３１分、片上１時間１９分。
手数 91: 歩切れになるのは、端が攻めにくくなるので、かなり痛い。
手数 94: ▲同角なら△同桂で笑いが止まらない展開。うまく指すものだ。
手数 96: 駒の損得はないが、かなり差がついた感じだ。
手数 98: 残り時間は室岡２１分、片上５６分。
手数 102: 厳しい。適当な受けがない。
手数 106: 頓死筋を消して盤石の受け。攻防ともに見込みがなく投了もやむをえない。終局時刻は２３時２２分。消費時間は室岡５時間４５分、片上５時間５分。
