先手: 飯塚 祐紀六段
後手: 田中 寅彦九段
手数 6: 田中、早くも変化球。
手数 10: 居玉での棒銀は田中が時々指す作戦。
手数 11: 急戦を見せられているので、反撃の用意をする。
手数 12: １０時４５分ごろの局面。消費時間は飯塚１３分、田中２７分。
手数 14: 角道が止まるが、飛先交換を阻止する。
手数 20: １１時半ごろの局面。消費時間は飯塚４６分、田中３０分。
手数 22: △４四歩の局面で飯塚が２１分考えて昼食休憩に入った。消費時間は飯塚１時間２７分、田中３４分。
手数 23: 昼食休憩後、すぐに指された。
手数 25: 飯塚は早い動き。
手数 27: １３時４０分ごろの局面。消費時間は飯塚１時間３８分、田中３８分。
７九角の応援があるので、△４五歩の突き違いの手筋は▲同銀△３五歩▲同角で差し支えない。後手は７二銀をどうやって使っていくかが課題となっている。
手数 28: ３６分の長考。歩がぶつかっているが悠然と銀を繰り出す。もっとも、△３五同歩▲同銀と駒を進出させるわけにはいかないのだろう。記者が対局室に入ると、田中は「そっかー」とつぶやいて、対局室を出ていった。飯塚は４０分以上の長考をしている。ここまでの消費時間は飯塚１時間３８分、田中１時間１４分。時刻は１４時半を過ぎた。
手数 29: １時間１４分の長考。
手数 35: ２筋を素通しにする、効果の大きい歩交換。
手数 37: １５時３５分ごろの局面。消費時間は飯塚２時間５５分、田中１時間３０分。
手数 38: 攻めを引っ張りこむ。▲３五銀に△５五角がある。
手数 42: ３１分の長考。次に△６五銀と出られれば一人前だが。
手数 43: △６五銀を阻止。
手数 45: １６時３０分ごろの局面。消費時間は飯塚３時間８分、田中２時間１２分。▲２二歩はプロの実戦で頻出の、相手に悪形を強いる手筋。
手数 47: 大きな拠点ができた。
手数 48: と金を作られてボヤボヤできない。反撃にうつる。
手数 49: △同銀▲３四銀△同金▲６五銀打△４二角▲５三歩△同角▲５四銀△６四角▲５三歩のように進めば先手十分だろう。
手数 50: いつでも△８六飛と走れるようにしておく手筋の突き捨て。
手数 52: １７時３０分の局面。消費時間は飯塚３時間１８分、田中２時間４４分。
手数 55: ▲６五銀打の局面で３８分考えて夕食休憩に入った。消費時間は飯塚３時間３４分、田中３時間２２分。
手数 56: 夕食休憩を挟んで５４分の長考。飛車の働きを悪くする勝負手。
手数 60: ▲８七歩は△６六飛があるので部分的には受けが難しい。
手数 61: １９時４５分過ぎの局面。消費時間は飯塚３時間５５分、田中３時間３８分。
受けが難しければ、受けないで攻め合い。▲５二角が厳しい。△４三銀としても▲５四銀で受けになっていない。飯塚勝勢と言われている。「（後手は）幸せになれない形」とも。
手数 64: 必死の粘りだが。
手数 69: △同銀に▲５一銀打△４一玉▲６一銀不成で必至。田中の投了となった。終局時刻は２０時８分。消費時間は飯塚４時間１分、田中３時間５６分。勝った飯塚は４勝２敗、敗れた田中は０勝６敗となった。
