先手: 北島 忠雄六段
後手: 小倉 久史七段
手数 6: 小倉は得意の三間飛車。
手数 16: 小倉はいろんなタイプの三間飛車を指しこなす。石田流、向かい飛車への転向。本局は△５三銀型の三間飛車。
手数 23: １１時ごろの局面。消費時間は北島５分、小倉３０分。
手数 25: 相穴熊になった。
手数 30: 石田流を目指して、振り飛車から主導権を握りに行く。
手数 33: ▲６九金右の局面で小倉が１８分考えて昼食休憩に入った。消費時間は北島３８分、小倉１時間１５分。
手数 34: １４時の局面。消費時間は北島３８分、小倉１時間２０分。△６二金左は昼食休憩を挟んで２３分の考慮で指された。北島は構想を練るためか１時間近い長考に入っている。
手数 35: １時間７分の長考で仕掛ける。居飛車の穴熊の方がしっかりしているので、今がチャンスと見た。
手数 40: 戦いの起きている筋に飛車を転換する。
手数 42: １５時ごろの局面。消費時間は北島１時間５１分、小倉１時間４２分。
手数 44: 振り飛車らしい軽快な指し回し。
手数 48: 穴熊崩しにはと金攻めが有効。
手数 50: 軽妙な垂れ歩。▲同飛なら△５七銀と打ち込む手が飛車取りになる。
手数 53: １６時の局面。消費時間は北島２時間３１分、小倉２時間１２分。
手数 56: 馬筋を飛車で消す、振り飛車らしい指し方。▲同馬△同桂は△４五桂とさばく手もあって振り飛車の得になる。
手数 61: と金攻めから逃げる。
手数 63: 自然に四枚穴熊になった。
手数 65: 桂香は穴熊攻略に力を発揮する。大きな駒得。
手数 69: ▲６五馬の応援が利くので厳しい。
手数 70: １７時の局面。消費時間は北島３時間１１分、小倉２時間２６分。△７二金上が自然だが、▲４四角△３四飛▲６二角成とはがされてしまう。△７二金寄は臨機の処置だ。
手数 72: 馬の利きを消す。
手数 73: ▲２二馬の局面で小倉が５０分考えて夕食休憩に入った。消費時間は北島３時間２９分、小倉が３時間１７分。
飛車を質駒にすることで、馬を働かせる。
手数 75: 強手で迫る。△同金と取らせて、▲６一角の筋を作る。
手数 90: ２０時４５分ごろの局面。消費時間は北島４時間４２分、小倉３時間２８分。
手数 106: ガッチリ受けられると、先手の攻めは続かない。△８二金の局面で８分考え、攻防ともに見込みなしと見た北島の投了となった。終局時刻は２２時１４分。消費時間は北島５時間５８分、小倉３時間５１分。
