先手: 真部 一男八段
後手: 大内 延介九段
手数 3: 真部は振り飛車党だが、居飛車にする。
手数 14: 藤井システムの陣形。
手数 18: １１時の局面。消費時間は真部７分、大内４４分。
手数 23: 穴熊を目指す。
手数 27: ▲９九玉の局面で大内が５１分考えて昼食休憩に入った。消費時間は真部２１分、大内１時間３５分。
手数 28: 昼食休憩をはさみ５２分の長考で玉を上がる。速攻は無理との判断か。
手数 37: 松尾流穴熊を目指す。
手数 43: 歩交換を狙う。
手数 48: １４時過ぎの局面。消費時間は真部５７分、大内１時間５８分。
手数 60: １５時４５分頃の局面。消費時間は真部１時間５３分、大内２時間２６分。
手数 62: △同歩は▲同飛△２四歩▲同角△２二飛▲５一角成△２五飛▲同桂となる。飛車にひもをつけたのが継ぎ歩の意味。
手数 66: 飛車の取り合いは穴熊ペース。
手数 67: 桂を取りつつ、と金を作られてはたまらない。一回は辛抱。
手数 75: 真部は巧みにさばいていく。
手数 77: 着実な攻め。
手数 85: １７時半の局面。消費時間は真部３時間１０分、大内２時間４３分。
飛車のさばきを見せる。
手数 91: 飛車を成り込み、ペースをつかんだ。
手数 97: 先手はうまく角もさばいた。
手数 99: ▲４二竜の局面で大内が２１分考えて夕食休憩に入った。消費時間は真部３時間２０分、大内３時間１７分。
手数 100: ▲６三角の筋があるため、もはや４七の成銀を助ける暇はない。
手数 113: 厳しい。△同歩は▲７四桂で寄り。
手数 117: 以下は△同歩▲７四銀△８二玉▲７二角成△同玉▲７三金で寄り。大内の投了となった。終局時刻は１９時８分。消費時間は真部３時間２２分、大内３時間１９分。勝った真部は４勝５敗、敗れた大内は１勝８敗となった。
