先手: 川上 猛六段
後手: 長岡 裕也四段
手数 8: 藤井システムが得意な長岡にしては珍しい玉上がり。
手数 20: １０時４５分の局面。消費時間は川上４１分。長岡２分。早い銀出ながら、相手の△６五銀の受け方によって穴熊か美濃囲いかを選択しようとしている。
手数 22: 「歩越し銀には歩で対抗」の格言の通り。また、△６三銀と引いて受けに使う構想もある。
手数 25: 川上は穴熊を目指す。
手数 26: △７二銀の局面で川上が２７分考えて昼食休憩に入った。消費時間は川上１時間３７分、長岡３９分。
長岡は先手の囲いを決めたので、自分の囲いも決めた。
手数 27: 昼食休憩をはさんで４９分の長考。
手数 28: １４時頃の局面。消費時間は川上１時間５９分、長岡１時間８分。
手数 29: ▲５五歩に続いて４０分の長考。
手数 31: １５時の局面。消費時間は川上２時間５３分、長岡１時間１１分。
５筋の位が伸びすぎになるかどうかが焦点。堅さなら▲６八金寄のほうがいいが、バランス重視。
手数 37: ▲３五歩△同歩▲３八飛の攻めを狙う。
手数 38: ▲３六歩には△４五歩と突いて▲３八飛に△４四角を用意するのが部分的な定跡ながら、本局の場合、▲３七桂で歩を目標にされまずい。△３二飛は▲３八飛に△２二角あるいは△５一角で受けるつもり
手数 41: 銀冠穴熊に組み替えるつもり。
手数 42: １６時過ぎの局面。消費時間は川上３時間２０分、長岡１時間５４分。
長岡は銀冠に組み替える。
手数 46: 長岡も穴熊に組み替える。順位戦らしい展開だ。
手数 51: 駒の繰り替え。
手数 54: 端の位まで取った４枚穴熊が完成。目まいがする位に堅い。
手数 56: △２二飛の局面で川上が２８分考えて夕食休憩に入った。消費時間は川上４時間８分、長岡３時間３分。
どこから手を出していけば良いのか難しい局面。
手数 57: 歩の交換を狙う。
手数 61: △６四歩と受けてほしい川上。
手数 65: 戦いながら、陣形を整備していく。
手数 66: ２０時の局面。消費時間は川上４時間１６分、長岡３時間３８分。
手数 71: ２１時の局面。残り時間は川上１時間１０分、長岡２時間２１分。
細かく動いて一手得した。
手数 72: ４９分の長考。
手数 77: ５六にいた金を７六までもってきて、後手陣と遜色のない堅さ。
手数 78: ▲同歩は△３六歩。
手数 80: △３五飛〜△３六歩や△３四飛〜△３三桂が狙いになっている。
手数 81: こう指すとさばきあいになる。
手数 84: 先ほどまでの地味な展開と打って変わっていきなり大駒の成り合い。
手数 86: 振り飛車らしい手。この桂馬を取りに行こうとすると、取りに行った駒の位置が悪くなってしまう。
手数 87: 馬を自陣まで利かす。
手数 90: 穴熊戦では金銀が大事。角を逃げてはダメ。
手数 93: 攻防に利くとともに桂取り。
手数 95: 穴熊はと金に弱い。
手数 102: アヤを付けていく。銀冠穴熊は陣形が厚いのが特徴。そのため玉頭攻めもしやすい。
手数 107: 手順に固めていく。△８六歩が銀取りにならないのはプラス。
手数 122: 後手は角損だが、厚みがあるのでまだまだ大変。
手数 127: 手筋で形を乱しにいく。
手数 128: 残り時間は川上５分、長岡３２分。日付が変わろうとしている。
手数 137: 強く踏み込む。
手数 144: 詰めろをかけつつ自陣にも利いている。
手数 147: いったん受けに回る。
手数 148: 上部を厚くする。△８三玉〜△７四玉となったときに心強い。
手数 150: 角を犠牲に小康を得る。
手数 163: 追うだけ追ってから手を戻すが手駒がなくなってしまった。▲９五歩が間に合うか。
手数 164: バッサリ切り落とす。
手数 168: 強く迫られてみると、先手の穴熊は案外もろい。
手数 175: △６九馬からの詰めろを消すが。
手数 178: 詰めろが続く。先手はがんじがらめになっていて受けが利かない。
