先手: 田村 康介六段
後手: 木下 浩一六段
手数 18: 木下は陽動作戦。居飛車か振り飛車か、なかなか態度を現さない。
手数 24: 木下はようやく態度を決め、向かい飛車に。
手数 30: 銀を引いて美濃囲いを作り直した。
手数 31: 田村陣はミレニアムと呼ばれている囲い。２０００年辺りにはやりだしたこと、三浦八段がよく用いていたことからもじってその名がついたといわれている。
手数 34: １１時過ぎの局面。消費時間は田村７分、木下３６分。
手数 47: ２枚の銀を引きつけてさらに堅く。
手数 48: 後手も銀冠に組み換え完了。
手数 49: ここで木下が２７分考えて昼食休憩に入った。ここまでの消費時間田村２４分、木下１時間２３分。
昼食の注文は木下がサバ塩焼き定食、田村が冷やしたぬきそば。
手数 52: １３分の考慮で木下は動く。
手数 53: 記者が棋譜を受け取りコピーして記録係に返す間にも数手進んでいた。
手数 54: １４時ころの局面。消費時間は田村２６分、木下１時間４５分。
手数 66: ※ここで▲５三桂成もあった。△同銀は▲４三歩成なので△５三同金だが、以下▲５四歩△４四金▲同飛△４五桂で意外と大変、後手も頑張れそうとのことだった。
手数 75: △１三角のぶつけを消す突き捨て。
手数 77: ここで木下が７分考えて投了した。以下△４三同歩は▲同歩成、△２二角は▲５一桂成から▲４三歩成。終局時刻はまだ陽が高い１４時５７分。消費時間は田村１時間１１分、木下２時間２０分。勝った田村は３勝０敗、敗れた木下は０勝３敗となった。
