先手: 飯塚 祐紀六段
後手: 西川 慶二七段
手数 15: がっぷり四つの相矢倉となった。
手数 16: 西川は５分・１分・１２分・４分・１分・１分・１４分・１４分と、ここまでの指し手全てに時間を消費している（計５２分）。負けられない一番の気迫を感じる時間の使い方だ。
手数 17: 飯塚はここまで全てノータイムで指している。
手数 29: この局面で西川が１７分考えて昼食休憩に入った。ここまでの消費時間は▲飯塚１８分、△西川１時間３６分。
手数 32: ここまでの消費時間は▲飯塚２４分、△西川２時間１３分。
手数 37: ここまでの消費時間は▲飯塚１時間２９分、△西川２時間２６分。
手数 46: ここまでの消費時間は▲飯塚２時間８分、△西川２時間５２分。
手数 53: この局面で西川が２７分考えて夕食休憩に入った。ここまでの消費時間は▲飯塚２時間５３分、△西川３時間５７分。
手数 56: 「西川さんがいいかと思ったけど、先手の右銀が６六まで出ているんですね。ちょっとしんどいかなぁ」（平藤六段）
「後手は７三の銀が使いづらいですからね」（本間五段）
手数 62: ここまでの消費時間は▲飯塚３時間２４分、△西川３時間３４分。
手数 63: 残り約２時間半残している飯塚、ここで４７分使った。
手数 67: ここまでの消費時間は▲飯塚４時間１６分、△西川４時間４３分。棋士室の形勢判断は、依然として先手優勢。
手数 68: １７分考えた西川、残り１時間。
手数 69: 飯塚の残り時間は１時間４３分。
手数 82: 消費時間は▲飯塚４時間３１分、△西川５時間１３分。
東京からは▲土佐−△畠山鎮戦の結果（畠山勝ち）が伝えられ、西川の降級点回避が決定した。
手数 92: ２３時２０分頃の局面。ここまでの消費時間は▲飯塚５時間ちょうど、△西川５時間４３分。
手数 111: この局面で西川が投了した。投了図では、先手玉に寄せがなくなっている。消費時間は▲飯塚５時間３２分、△西川５時間５９分。勝った飯塚は６勝４敗、敗れた西川は３勝７敗。西川は敗れたものの、降級点を免れた。
