先手: 高田 尚平六段
後手: 長岡 裕也四段
手数 3: 序盤巧者の高田。出だしから工夫を見せる。
手数 10: 定跡書でこの角打ちがあるので▲６五角はうまく行かないと書いてある。
手数 13: ３手目の▲９六歩からの指し手は端の位を取るための動きだった。
手数 23: ▲４七銀で長岡が１７分考慮して、昼食休憩に入った。ここまでの消費時間は高田１時間１１分。長岡４４分。昼食の注文はともになし。
手数 37: 珍しい金美濃囲い。
手数 38: １５時過ぎの局面。消費時間は高田１時間５５分。長岡１時間４１分。長岡は端からの攻めを見せる。高田の角が少し窮屈だがどのように活用していくのか。
手数 44: １６時４５分の局面。消費時間は高田３時間２分。長岡２時間２１分。
手数 45: 高田は７０分の長考で金を上がり矢倉を完成させた。先手はこれで強気の戦いもできるようになった。▲６八金上に長岡は２２分考えて夕食休憩に入った。消費時間は高田４時間１２分、長岡２時間４３分。
手数 53: ２０時３０分ごろの局面。消費時間は高田が４時間３１分。長岡が２時間５３分。
手数 54: 藤倉は１時間１３分考えて切り込む。
手数 64: ここまでの消費時間は高田４時間５０分。長岡４時間２７分。
手数 74: 残り時間は高田２９分、長岡１時間７分。
手数 86: 残り時間は高田２０分、長岡３３分。
手数 101: 終了時刻は２３時５４分。消費時間は高田５時間５１分。長岡５時間３３分。
