先手: 平藤 眞吾六段
後手: 神崎 健二七段
手数 1: 両者ともに１９６３年生まれで、関西奨励会からプロへの道を歩んでいる。神崎の方が奨励会入りしたのが早いこともあり、プロになったのは神崎が１９８６年１１月、平藤１９９１年４月と４年以上の開きがある。
手数 2: プロになってからの初対局が１９９１年８月で、本局前最後に対局したのが２００５年１２月。各棋戦での対局を経験しているが、順位戦での対局が初というのは意外な感じだ。
手数 3: 戦型で見ると、矢倉、角換わり、相掛かり、振り飛車と幅広い。本局は果たしてどの戦型になるだろうか。
手数 15: 本局は横歩取りになった。後手の対応は最も多く指されているのが△３三角、他には△３三桂や△８八角成から△７六飛と相横歩取りにする指し方も考えられる。
手数 20: △８五飛ではなく８四に引いた。昔からよく指される横歩取りの形になった。
手数 22: 次に△６二銀、△５一金として中原囲いを目指す。
手数 23: 先手は中住まいに構える。
手数 26: １１時の局面。消費時間は平藤３１分、神崎１４分。
手数 33: この局面で神崎が２４分考えて昼食休憩に入った。消費時間は平藤１時間１分、神崎５３分。
手数 45: 後手からは△８六桂が厳しい（▲同銀なら△８八歩成）ので、そのまえに８七の歩を払いたい。
手数 47: １４時１０分の局面。消費時間は平藤１時間１８分、神崎１時間２５分。
駒の損得は角と桂香の２枚換えになっている。
手数 48: 悠長な手を指していると▲８八銀以下龍を捕獲されてしまう。局面をほぐして攻めの継続を図る。
手数 53: 角を打たずに▲８五角は△８四歩や△８七桂成が厳しい。こう受ける一手。
手数 54: 手筋。▲同金でも▲同飛でも陣形が不安定になる。
手数 55: １５時５０分の局面。消費時間は平藤１時間２７分、神崎３時間２分。
手数 63: 駒割は銀香交換で先手が得している。後手は飛車の打ち込みに弱い形なので８六の龍を渡さない攻めを考える必要がある。
手数 66: １７時２０分を過ぎた。消費時間は平藤１時間４７分、神崎３時間５９分。
手数 68: この局面で平藤が３７分考えて夕食休憩に入った。消費時間は平藤２時間３９分、神崎４時間１０分。
手数 71: ２０時１０分過ぎの局面。消費時間は平藤２時間５０分、神崎４時間１０分。
この局面のまま神崎が１時間以上考えている。
手数 72: 棋士室のモニターで着手を確認した平藤は「やっと来たー」と意気揚々と対局室へ向かった。
手数 77: ２１時１５分の局面。消費時間は平藤３時間９分、神崎５時間４４分。
手数 89: ここで神崎の投了となった。以下先手玉は詰まず、後手玉は△２二金と龍を取っても▲４二銀以下の即詰みとなる。消費時間は平藤３時間１９分、神崎５時間５８分。勝った平藤は４勝２敗、敗れた神崎は３勝３敗となった。
