先手: 島本 亮四段
後手: 広瀬 章人四段
手数 6: 広瀬は四間飛車穴熊が得意。本局も四間飛車にして穴熊を狙う。
手数 17: この歩を突くと持久戦になりにくい。
手数 19: 島本は急戦を狙っていく。本譜の急戦策は加藤一二三九段が得意にしている形。
手数 23: 先手の陣形は「山田定跡」の形。先に▲４六銀として次に▲３五歩を狙うのは、△４五歩が銀取りになってよくない。▲３五歩は銀のさばきをよくする手筋の突き捨てだ。
手数 26: 後手も手筋の突き出し。△４五歩では▲３三角成△同銀に▲３五銀と歩を取りながら銀が前に出てきてしまう。
手数 28: １１時前の局面。消費時間は広瀬８分、広瀬３４分。
手数 34: △４四銀とかわすのは、▲２三銀不成〜▲３四銀成を狙われる。
手数 36: ここで△３三角は▲２一飛成に△２二飛と回れない（▲４一竜で金がただ）。美濃囲いのときとの違いに注意。
手数 37: 自陣角で攻めを続ける。この局面は平成７年６月に行われた第５４期Ａ級順位戦の▲加藤一二三九段−△谷川浩司九段戦で出現したことで有名。
手数 38: 前述の▲加藤−△谷川戦では△４六歩から攻めていったが、広瀬は△３二金とがっちり受ける。
手数 40: △４六歩の局面で島本が２５分考えて昼食休憩に入った。消費時間は島本４５分、広瀬１時間１０分。
手数 41: 再開後すぐに指された。
手数 42: 先手陣は角頭が弱点。
手数 43: 島本、２７分の連続長考。
手数 44: 軽い突き捨て。▲同角とさせて△７七歩の叩きや△７一歩の受けを用意。
手数 47: 飛車が逃げられないので飛車の取り合いは必然。
手数 49: 飛車の取り合いになった。
手数 50: １４時の局面。消費時間は島本１時間１５分、広瀬１時間３１分。
