先手: 西尾 明四段
後手: 東 和男七段
手数 15: ここまでの消費時間は▲西尾１７分、△東１１分。
手数 30: この局面で西尾が１７分考えて昼食休憩に入った。ここまでの消費時間は▲西尾１時間１分、△東５６分。
手数 37: ここまでの消費時間は▲西尾１時間２９分、△東１時間６分。
手数 46: １５時頃の局面。ここまでの消費時間は▲西尾１時間５８分、△東２時間。
手数 50: ここまでの消費時間は▲西尾２時間１４分、△東２時間３２分。
手数 52: ５２分の長考。
手数 53: ここまでの消費時間は▲西尾２時間１９分、△東３時間２４分。
手数 54: １時間６分。連続長考となった。
手数 58: 西尾が長考しているところで２０時を回った。消費時間は▲西尾２時間３１分、△東４時間３３分。
手数 78: ここまでの消費時間は▲西尾３時間４９分、△東５時間１分。
手数 83: ここまでの消費時間は▲西尾４時間１４分、△東５時間２３分。
手数 95: ここまでの消費時間は▲西尾５時間４分、△東５時間４２分。棋士室の見解は後手優勢だが、千日手の可能性も残されているようだ。
手数 118: ここまでの消費時間は▲西尾５時間３２分、△東５時間５５分。
手数 145: この局面で東が投了した。消費時間は▲西尾５時間５６分、△東５時間５９分。両者ともに１勝１敗となった。
