先手: 増田 裕司五段
後手: 遠山 雄亮四段
手数 11: ３０分考えて端に角を打ったここの局面で１１時半頃。消費時間は▲増田５８分、△遠山２９分。
手数 14: この局面は１０手目△４二飛の局面でさらに後手が△３三桂と跳ねた勘定になり、「０手で桂馬を跳ねた」と表現することがある。手損の先手、どのような構想だろうか。
手数 15: この局面で遠山が３１分考えて昼食休憩に入った。ここまでの消費時間は▲増田５８分、△遠山１時間３分。
手数 16: 蛇足だが、昼食休憩時に「遠山−増田戦」が「大山−升田戦」に聞こえたという奨励会員がいた。
手数 25: １４時過ぎの局面。ここまでの消費時間は▲増田１時間５７分、△遠山１時間３４分。
あえて跳ねさせた桂馬の頭を狙っていく。
手数 28: １６時頃の局面。ここまでの消費時間は▲増田２時間８分、△遠山２時間４０分。遠山はこの一手に５２分の長考だった。
手数 29: この手に代えて▲３四歩は△２六角と飛車を取られてしまう。
手数 31: １７時頃の局面。ここまでの消費時間は▲増田２時間５３分、△遠山３時間１１分。
手数 32: この局面で増田が３４分考え、夕食休憩に入った。ここまでの消費時間は▲増田３時間２７分、△遠山３時間３５分。
手数 51: ２１時前の局面。消費時間は▲増田４時間１０分、△遠山４時間３２分。
手数 58: お互いに我が道を行って飛角交換になった。
手数 60: 遠山は残り１時間を切った。
手数 61: ２２時頃の局面。ここまでの消費時間は▲増田４時間４２分、△遠山５時間２分。
手数 71: 残り時間は増田５６分、遠山３４分。
