先手: 富岡 英作八段
後手: 安用寺 孝功五段
手数 3: 最近の富岡は相振りを多用することが多くなった。仮に△８四歩なら▲６八銀で矢倉にもできる。
手数 4: 以前は居飛車党だったが、振り飛車党に転向した安用寺。当然、飛車を振る。
手数 7: ▲６七銀を保留して向かい飛車にするのが最近の流行だ。
手数 8: 相振りでの玉の囲いは美濃や矢倉が多くなった。金無双はほとんど見られなくなっている。
手数 12: 早くも歩の交換を狙う。▲同歩△同飛▲３七歩の進展は△６六飛とされそうだ。
手数 13: 矢倉への組み換えを狙っている。次に▲４七金とすれば△３七歩成の一手。そこで▲同銀が矢倉の形になる。
手数 17: 先に△３七歩成としたが、結局は同じことになった。
手数 21: ▲８六歩の局面で安用寺が３２分考えて昼食休憩に入った。消費時間は富岡が１時間、安用寺が５７分。
手数 24: 銀を５三に活用するつもりのようだ。△４四歩〜△４三銀〜△３四銀のような駒組みも考えられた。
手数 25: １４時の局面。消費時間は富岡が１時間５８分、安用寺が５７分。
手数 26: ５筋の位を取る。△５四銀と構えた形が好形だ。
手数 28: 「位を取ったら位の確保」銀で支えに行く。
手数 29: 矢倉の城が完成。後は玉が入るだけ。
手数 30: 高美濃囲いになった。
手数 31: １５時半直前の局面。消費時間は富岡が２時間１９分、安用寺が１時間３１分。
手数 36: 安用寺は矢倉に組み変える意思はなさそうだ。矢倉にしても固くなっているかは難しい。
手数 38: 間合いを計りあう。どちらが得したのかわからない。
手数 43: ８八だと、角筋に入っているのがいやだったのだろうか。珍しい引き場所だ。
手数 44: １７時の局面。消費時間は富岡が２時間５６分、安用寺が２時間３１分。
手数 46: △１四歩を生かす。
手数 50: 飛車が影になるが、次に△４五桂▲４六銀△３七歩▲同桂△４六角▲同金△５七桂成となればかなりの攻め。
手数 51: ▲６五歩の局面で安用寺が８分考えて夕食休憩に入った。消費時間は富岡が３時間５６分、安用寺が２時間５５分。
手数 55: 上部から攻める。▲７四歩が間に合えば、かなり迫力がある。
手数 56: 手筋の打ち捨て。あたりをきつくする。
手数 58: ▲同銀なら△４六歩が激痛。
手数 59: 角筋を遮断する。
手数 62: ２０時の局面。消費時間は富岡が４時間４０分、安用寺が２時間５９分。
▲同金は△同桂でだめ。後手は桂馬さえさばければ、後の攻めが楽になる。飛車が活用しやすくなるから。
手数 63: ４１分の長考。引いて我慢。
手数 65: ２１時の局面。残り時間は富岡が３８分、安用寺が２時間５８分。
手数 66: 飛車を取らせる間の手作りを目指す。先手は飛車を取るために僻地へ銀を投資しているので、飛車を取らせても大して損にならないと見ている。
手数 74: 圧力をかける。
手数 75: ここで１２分使い、富岡残り７分になった。
攻防に利いている。桂取りを見せて、攻めの催促。
手数 76: ４５分の長考。
手数 80: 受け駒だが、攻めに活用させる。
手数 86: △４五金打からの詰めろ。
手数 89: ２２時４０分の局面。残り時間は富岡が４分、安用寺が１時間５１分。
玉自ら突進。桂馬や角は頭が死角になっているので、案外攻めにくい。後手は▲７四歩からの攻めも早いので、かなり忙しい。
手数 93: ▲５五玉〜▲６六玉と遷都できるようにしたのと、▲７四歩が詰めろになっている。
手数 100: うまく駒を活用していく。
手数 104: △７三桂▲７四玉△６二桂の詰めろ。
手数 105: 富岡はこの手から一分将棋になった。
手数 110: 自陣の駒を活用していく。
手数 115: ▲１一角成ではプレッシャーがない。
手数 122: △７七桂成は▲７四歩が詰めろ逃れ詰めろ。
手数 132: 詰めろが途切れない。
手数 134: 以下、▲８九玉△７八成桂▲同角△８八金▲同玉△７六桂▲８九玉△９九飛成で詰み。終局時刻は２３時４５分。消費時間は富岡５時間５９分、安用寺４時間５１分。勝った安用寺は４勝２敗、敗れた富岡は５連敗となった。
