先手: 田村 康介六段
後手: 西尾 明四段
手数 10: 最近、再び増えてきた通常（手損をしない）の角換わり。
手数 12: △２二銀と上がるよりも中央が厚く勝っている。
手数 25: 相腰掛け銀になった。
手数 31: ここまでノータイムで指していた田村はここで１分の消費。
手数 38: 先後まったくの同型になった。戦後間もないころから指されている、角換わりでも花形の局面といえる。
手数 39: わずか１分の消費時間で仕掛けていく。
手数 41: １１時の局面。消費時間は田村６分、西尾３６分。
手数 47: 歩を複数突き捨てる場合は、相手にとって手抜きにくいところから突き捨てるのがセオリー。この場合だと▲２四歩（▲２三歩成となると崩壊）や▲７五歩（▲７四歩と取り込ませると桂損確定）を後回しにするのが基本。
手数 49: 歩を取り返した手が▲７四歩を見せているのが主張。しばらくは先手の攻める形になる。
手数 51: 近年は▲２六飛が多い。ここ１・２年はほとんど指されていない手法だ。田村はどのような工夫を用意しているのだろうか。
手数 52: △６三金に田村が２５分考えて昼食休憩に入った。消費時間は田村５３分、西尾５６分。
手数 53: 昼食休憩を挟む１時間８分の長考。
手数 55: １４時の局面。消費時間は田村１時間３６分、西尾５６分。西尾が長考している。ここで△２二角と受けるのが以前の定跡でこれは先手が指せるという結論だった。しかし、▲１一角に△３五銀▲４五銀△２二角という手順を５年前に佐藤康光二冠が発表し、現在は先手が避ける形になっている。この局面は２年ぶりに登場した。
手数 57: １５時過ぎの局面。消費時間は田村１時間３７分、西尾１時間２２分。西尾が再び考えている。
手数 58: １時間１７分の長考。
手数 62: １６時３０分の局面。消費時間は田村１時間３８分、西尾３時間２９分。△３三同金に５０分の長考。ここで▲５四銀△同歩▲４五桂と攻めるのは△２四金が異筋の好手。この手は羽生善治三冠が初めて指した。△２四金の局面は実戦例が３局あってすべて後手が勝っている。田村の新構想やいかに。
手数 65: 過去の実戦例はすべて▲４五桂だった。ここで前例から離れた。
手数 68: １７時３０分の局面。消費時間は田村２時間２３分、西尾３時間４８分。
手数 71: ▲５一角の局面で西尾が２２分考えて夕食休憩に入った。消費時間は田村２時間３６分、西尾４時間１６分。
手数 84: ２０時過ぎの局面。消費時間は田村２時間４６分、西尾４時間５５分。
手数 94: しばらく控え室の検討通りに進んでいたが、西尾は歩で王手を受けた。検討では▲２三飛成があるため本命視されていなかった。
手数 95: ２１時の局面。残り時間は田村２時間４５分、西尾４０分。
手数 114: ２２時ごろの局面。残り時間は田村２時間２４分、西尾８分。
手数 144: 後手玉は完全に逃げ切った形。田村の投了となった。終局時刻は２２時３２分。消費時間は田村３時間４６分、西尾５時間５９分。勝った西尾、敗れた田村ともに３勝１敗となった。西尾は本局に勝ち五段昇段を決めた。
