先手: 先崎 学八段
後手: 桐山 清澄九段
手数 1: 先崎は闘志十分の様子。指し直し局に向けて、駒は一旦記録係がしまうことが多いが、先崎がかなり早く戻ったため、棋譜確認中だった記録係はまだ駒をしまっていなかったようだ。モニターに映る盤上に下座側から手が伸び、次々と駒が片付けられていた。
手数 3: 挑発気味の手。
手数 6: 桐山も誘いに乗って中飛車を選んだ。
手数 28: ２１時半頃の局面。ここまでの消費時間は▲先崎３時間５５分、△桐山４時間４１分。
手数 37: ▲３二同飛成は△同金で、後手陣に打ち込みの隙がなく、軽やかに捌かれている。
手数 38: △３五歩と打つよりもプレッシャーが大きい。▲３六歩ならそこで△３五歩と打てば先手を取れる。
手数 44: 感想戦では、この△５五歩で△３三角とあらかじめ当たりを避けておいたほうがよかったといわれていた。
手数 49: ２２時過ぎの局面。ここまでの消費時間は▲先崎４時間２１分、△桐山４時間５９分。
手数 52: ▲３五金と押さえられる手を避ける。
手数 60: ▲３五同金なら△５六飛。
手数 62: なおもしつこく追い掛け回す。
手数 66: ばっさりと。△３五同角は▲５五金とかわされるくらいでも続かなさそうだ。
手数 73: ２３時半頃の局面。ここまでの消費時間は▲先崎４時間５８分、△桐山５時間３２分。
手数 74: △５六銀成▲２四歩△４六成銀は▲１一角成で先手玉が広いと判断したのだろう。
手数 80: 後手は駒損。攻めが続かなければならない。
△４五銀（▲同銀は△５五角の王手飛車）の大技も狙いのひとつ。
手数 81: △６六歩と突かれる手を防ぎながら、▲１一角成を見せ、後手玉もにらんでいる。
手数 86: ▲２四同歩なら△２五歩▲１六飛△１四歩と飛車を取りに行く狙い。
手数 87: 徹底的に受ける。
