先手: 飯塚 祐紀六段
後手: 南 芳一九段
手数 14: 最近の南は力戦調の居飛車が多い。
手数 15: ▲７九角を見せる。
手数 16: １０時４０分の局面。消費時間は飯塚１２分、南２２分。
手数 19: 飯塚は左美濃に構えた。矢倉よりも早く囲いを作れるのが長所。
手数 30: １１時４０分の局面。消費時間は飯塚３３分、南４８分。
手数 31: 飯塚は矢倉に組み替えた。
手数 32: 南は右玉の作戦を明示した。
手数 34: 右玉は一段飛車がポイント。スキがない陣形だ。
手数 36: △１四歩の局面で飯塚が８分考えて昼食休憩に入った。消費時間は飯塚１時間８分、南４９分。
手数 37: 序盤戦は奇数の筋の歩を突くと急戦に、偶数の筋の歩を突くと持久戦になりやすい。本譜は持久戦になりそうだ。急戦を狙うなら、▲３七銀から▲４六銀のような指し方が一例だ。
手数 40: １３時半の局面。消費時間は飯塚１時間１５分、南１時間６分。
手数 44: 完全な持久戦。どこに仕掛けの糸口を見出すかがポイントになる。
手数 45: １４時半の局面。消費時間は飯塚１時間４９分、南１時間２７分。
穴熊を目指す。△８五桂▲８六銀とされると穴熊には組みにくいが、桂馬を跳ねると後手陣も弱体化する意味があるので微妙なところだ。
手数 49: ６六の地点を厚くする。
手数 52: １５時半の局面。消費時間は飯塚２時間２２分、南２時間１分。
手数 55: 金を玉に近づけていく。
手数 59: １６時半の局面。消費時間は飯塚２時間５６分、南２時間２６分。
手数 63: 金銀をここまでくっつけられればまずまずか。後は仕掛けの糸口を見つけること。先手番なだけに千日手になってはつまらない。
手数 64: 後手は銀矢倉に組み替えた。
手数 65: １７時半の局面。消費時間は飯塚３時間２１分、南２時間５３分。４筋の歩を交換できれば、角筋が通り、手作りがだいぶ楽になる。
手数 69: ▲４五同飛の局面で南が３０分考えて夕食休憩に入った。消費時間は飯塚３時間２２分、南が３時間３２分。
手数 73: 歩を交換して少しずつポイントを稼ぐ。
手数 77: この銀の活用は大きい。
手数 80: １９時４５分の局面。消費時間は飯塚３時間４４分、南３時間４１分。
手数 81: 意表を突く穴熊からの端攻め。
手数 83: △同香は▲８五銀右△同歩▲同銀で端を攻めていくのだろう。
手数 84: ２０時半の局面。消費時間は飯塚４時間、南４時間４分。南は中央から反撃する。
手数 89: 穴熊の桂馬まで総動員しての攻め。
手数 93: ２１時２０分ごろの局面。消費時間は飯塚４時間２５分、南４時間３２分。
手数 94: 玉の早逃げ。いつまでも８二のままでは戦えない。
手数 99: 攻防の香打ち。
手数 100: ２２時の局面。残り時間は飯塚１時間１９分、南１時間１４分。
手数 101: ６四に逃げられると入玉を心配しなければならない。上をしっかり押さえる。
手数 103: 端の銀をうまく活用した。
手数 107: ２２時４０分の局面。残り時間は飯塚４４分、南５７分。
手数 125: ０時前の局面。残り時間は飯塚１９分、南３０分。
手数 135: ０時２５分の局面。残り時間は飯塚１０分、南６分。
