先手: 鈴木 大介八段
後手: 森 けい二九段
手数 12: 序盤早々大胆な指し回し。相振りでの立石流は珍しい。
手数 22: １筋から４筋まで大模様を張る森。
手数 31: ここで昼食休憩。消費時間は鈴木１時間２分、森５２分。早くも乱戦模様。
手数 35: 安定しているが手詰まり模様の先手陣。一方の後手陣は不安定だが指したい手が山ほどある。
手数 44: のしのしと盛り上がっていく。
手数 74: 自ら壁金に。後手玉は３二あたりに移動した方が安定しているかもしれない。
手数 82: ここで夕食休憩。後手陣はなんとも形容しがたい。森調であることは間違いない。
消費時間は鈴木３時間３０分、森３時間１０分。
手数 86: 端から手を作りにいく。▲同香なら△１三桂、▲同桂は△１八歩〜△１六香、▲同玉は△１六香〜△２八歩。
手数 93: 銀を手にしてガッチリ受ける。森はどこまで行っても８二金の壁金に足を引っ張られそうだ。
手数 101: うまい切り返し。△７六銀成なら▲３三角成で優勢になる。
手数 104: この手に対しては▲５五歩が手筋。△同角▲６七飛△７六銀成▲５七飛と先手を取ることができる。
手数 109: △同飛は▲５五桂で角の利きを止める。しかしこの瞬間は相当怖い。
手数 127: ここで森投了。後手玉は一手一手。先手玉に寄りはない。勝った鈴木は５勝２敗、敗れた森は６連敗となった。
