先手: 増田 裕司五段
後手: 西尾 明四段
手数 6: 西尾の作戦はゴキゲン中飛車。
手数 12: △７二金〜△６一玉とする順も流行っているが、西尾は美濃囲いを目指す。
手数 24: １１時過ぎの局面。ここまでの消費時間は▲増田３０分、△西尾２４分。
手数 28: この局面で増田が３５分考えて昼食休憩に入った。ここまでの消費時間は▲増田１時間１５分、△西尾４２分。
手数 31: １４時半頃の局面。ここまでの消費時間は▲増田１時間３５分、△西尾４２分。ここで西尾が１時間近く考えている模様。
手数 32: １時間４２分の長考だった。１６時を回り、消費時間は▲増田１時間３５分、△西尾２時間２７分。
手数 33: １時間１１分、長考のお返し。
手数 41: １７時過ぎの局面。ここまでの消費時間は▲増田３時間４分、△西尾２時間５８分。
手数 42: この局面で増田が４０分考え、夕食休憩入った。ここまでの消費時間は▲増田３時間４４分、△西尾３時間１６分。
手数 53: ２０時過ぎの局面。ここまでの消費時間は▲増田４時間１５分、△西尾３時間４４分。
手数 54: ５２分の長考。
手数 56: ２１時頃の局面。ここまでの消費時間は▲増田４時間２３分、△西尾４時間４４分。
手数 64: ２２時頃の局面。ここまでの消費時間は▲増田４時間５２分、△西尾５時間２分。
手数 66: 馬を自陣にまで利かす。西尾は残り１時間を切った。
手数 67: 増田は残り１時間を切った。
手数 79: ２３時半頃の局面。ここまでの消費時間は▲増田５時間３０分、△西尾５時間３５分。
手数 82: ここで１２分考えた西尾は残り６分。
手数 83: ２２分考えて銀を打ち込んだ。読みきったか。残り３分。
手数 95: 角取りだが、それよりも１八馬の利きを止めて▲８一竜を作っていることが大きい。
手数 96: 西尾はここから一分将棋。
手数 101: 増田はここから一分将棋。
手数 107: この局面で西尾が投了した。投了以下、（１）△９三同玉は▲９四銀以下、（２）△９三同金は▲８二金△同玉▲７一銀以下、（３）△９三同桂は▲８三金△同金▲８一銀以下の即詰み。消費時間は両者とも５時間５９分。両者ともに１勝１敗となった。
