先手: 高田 尚平六段
後手: 川上 猛六段
手数 8: オールラウンドの川上。うそ矢倉を目指す。
手数 11: 序盤巧者の高田。急戦矢倉含みの駒組みだ。
手数 15: 力戦模様になった。
手数 19: 角を３七へ引いて、後手の駒組みをけん制する狙い。５五〜３七のルートは７七〜５九〜３七のルートに比べて一手得。
手数 20: 力強い金上がり。▲３七角なら△４五金▲２六飛△３五歩と角頭をいじめるつもりだろう。それにしても、矢倉を放棄するので勇気の要る手だ。
手数 24: △８六同飛の局面で高田が２１分考えて昼食休憩に入った。消費時間は高田が１時間２０分、川上が３６分。
手数 25: 昼食休憩を挟む３７分の長考。
手数 27: １４時の局面。消費時間は高田が２時間４分、川上が３９分。一手一手の構想が難しい局面。矢倉だけでなく、雁木も見せている。
手数 31: 先手は雁木。
手数 34: 銀を繰り替え、持久戦を目指す。
手数 40: 後手は銀矢倉。
手数 41: １５時ごろの局面。消費時間は高田が２時間３４分、川上が１時間１５分。
後手は歩越しの金をどのように活用するかが課題。
手数 43: ２９分の長考で攻めをねらう。
手数 44: １６時１５分ごろの局面。消費時間は高田が３時間３分、川上が１時間５１分。
手数 49: 完全に持久戦。
手数 50: 次に△５四歩とすれば、悪形解消となる。
手数 51: １７時１５分の局面。消費時間は高田が３時間３５分、川上が２時間９分。
先手は矢倉と金銀が逆形の囲い。
手数 54: △８五金として棒金を狙うつもりだろうか。
手数 55: ▲３五歩の局面で川上が２６分考えて夕食休憩に入った。消費時間は高田が３時間４９分、川上が２時間５０分。
手数 62: 手抜きで攻め合う。
手数 67: 歩を使わせる。
手数 72: 横に動けるのが、金のいいところ。
手数 74: △９五同香ではつまらない。先に９七の地点を攻める。
手数 84: 端を集中砲火。△９七銀からの攻めの効果が出ている。
手数 87: ２０時３０分の局面。消費時間は高田が４時間２３分、川上が３時間３７分。
手数 90: とにかく端で一点突破をねらう
手数 91: 端から逃げる。
２１時３０分前の局面。残り時間は高田が１時間２１分、川上が１時間５７分。
手数 93: ２２時の局面。残り時間は高田が５９分、川上が１時間４７分。
手数 102: ポイントは稼いだと見て、他の方向から攻める。
手数 110: 転戦。
手数 111: 残り時間は高田１４分、川上１時間１８分。
手数 113: 徹底抗戦の構え。
手数 114: 残り時間は高田９分、川上５１分。
手数 118: 銀を遊び駒にした。
手数 122: Ｂ面攻撃。
手数 126: △５六銀から押しつぶそうとしている。
手数 152: 一手一手の寄せで指す手がない。投了もやむをえない。終局時刻は０時４１分。消費時間は高田５時間５９分、川上５時間２９分。
