先手: 中田 宏樹八段
後手: 豊川 孝弘七段
手数 1: 中田の今期成績は６勝４敗（０．６００）。通算成績は６３９勝３８３敗（０．６２５）
手数 2: 豊川の今期成績は３勝５敗（０．３７５）。通算成績は３６９勝２７２敗（０．５７６）
手数 4: 一分で指された。順位戦の為の作戦だろう。
手数 6: 一昔前なら、考えられなかった手だが、最近は時々見かけるようになった形だ。
手数 15: １１時頃の局面。ここまでの消費時間は▲中田４４分△豊川１２分。
手数 17: ▲同飛は△３五角がある。
手数 22: 端の位を生かすべく飛車を振る。
手数 28: 振り飛車の命ともいえる左桂の活用。将来的に△４一飛から△２一飛の転換も考えられる。
手数 29: この局面で豊川が４分使って昼食休憩に入った。ここまでの消費時間は▲中田１時間２８分△豊川２９分。
手数 32: １３時５０分頃の局面。ここまでの消費時間は▲中田１時間２９分△豊川５５分。
手数 35: 何気ない手だが、後手からの△６四角から△４五歩を防いでいる。
手数 38: １４時５０分頃の局面。ここまでの消費時間は▲中田１時間５９分△豊川１時間２９分。
手数 41: 完全な力将棋となった。後手の端の位を取るか、先手の厚みを取るか、好みが分かれる局面だろう。
手数 46: １６時頃の局面。ここまでの消費時間は▲中田２時間３８分△豊川１時間４８分。
手数 48: １７時過ぎの局面。ここまでの消費時間は▲中田３時間３１分△豊川１時間５２分。
手数 58: この局面で中田が１５分使って夕食休憩に入った。ここまでの消費時間は▲中田４時間２３分△豊川２時間２７分。
手数 65: 大きな成桂。後手は駒がバラバラでまとめづらい。
手数 66: 遠見の角で粘る。
手数 72: ２０時頃の局面。ここまでの消費時間は▲中田５時間２分△豊川２時間３１分
手数 75: ▲７九飛でも良さそうだが、中田は決めに出る。
手数 81: 寄せは相手の金をはがすのが急所。
手数 87: ここで豊川は投了した。△９三玉▲８四金△９二玉▲７三成桂で後手玉は必至で、先手玉には詰みがない。
終局は２０時２６分。消費時間は▲中田５時間２２分△豊川２時間３９分。勝った中田は３勝１敗、敗れた豊川は１勝４敗となった。
