先手: 田中 悠一四段
後手: 阪口 悟四段
手数 7: 田中悠の作戦は三間飛車。
手数 14: 慣れないと奇異に映るが、次に△２二飛と回って向かい飛車になる。
手数 16: やはり向かい飛車。
手数 21: １１時頃の局面。ここまでの消費時間は▲田中悠１７分、△阪口２９分。
手数 29: △６三金となれば平たい美濃囲いよりも上部に手厚くなる。▲７六飛は当たりが強くなるとみて、７八まで引いた。
手数 31: この局面で阪口が１２分考えて昼食休憩に入った。ここまでの消費時間は▲田中悠３７分、△阪口１時間１６分。
手数 32: 後手は矢倉囲いへの組み換えを目指す。矢倉囲いは上部に厚い構え。
手数 38: １４時頃の局面。ここまでの消費時間は▲田中悠１時間１３分、△阪口１時間２８分。
手数 47: １５時頃の局面。ここまでの消費時間は▲田中悠１時間４５分、△阪口１時間３７分。
手数 50: １６時過ぎの局面。ここまでの消費時間は▲田中悠２時間１２分、△阪口２時間１４分。
手数 51: ５９分の長考。
手数 57: １７時２０分頃の局面。ここまでの消費時間は▲田中悠３時間１６分、△阪口２時間４０分。
手数 61: この局面で阪口が２６分考え、夕食休憩に入った。消費時間は▲田中３時間２６分、△阪口３時間２１分。
手数 68: 大きな飛車の転換。銀取りと△６七歩成りがあって忙しい。
手数 73: ２０時頃の局面。ここまでの消費時間は▲田中悠４時間９分、△阪口３時間２９分。
後手が優勢とみられている。
手数 85: ２１時頃の局面。ここまでの消費時間は▲田中悠４時間３１分、△阪口３時間５１分。
依然として後手優勢。
手数 108: この局面で田中悠が投了した。以下は▲３八同飛△同歩成▲同玉△３九飛▲２八玉△４八龍まで。消費時間は▲田中悠４時間５１分、△阪口４時間１３分。勝った阪口は２勝６敗、敗れた田中悠は３勝５敗となった。
