先手: 増田 裕司五段
後手: 東 和男七段
手数 26: １１時頃の局面。ここまでの消費時間は▲増田２６分、△東１９分。
手数 35: この局面で東が４７分考えて昼食休憩に入った。ここまでの消費時間は▲増田３２分、△東１時間２０分。
手数 42: １４時過ぎの局面。ここまでの消費時間は▲増田１時間２分、△東１時間４０分。
手数 44: １５時半頃の局面。ここまでの消費時間は▲増田１時間２４分、△東２時間６分。
手数 45: ４８分考えて歩を突く。
手数 46: 東も４９分考えて銀を引いた。長考になったのは恐らく△１三銀との比較だろう。
手数 47: １６時半頃の局面。ここまでの消費時間は▲増田２時間１２分、△東２時間５５分。
手数 50: この局面で増田が１時間８分考え、そのまま夕食休憩に入った。。ここまでの消費時間は▲増田３時間２０分、△東３時間３７分。
手数 51: 夕食休憩を挟んで１時間２１分の長考。
手数 63: ２０時半頃の局面。消費時間は▲増田３時間５０分、△東４時間。
手数 70: ２１時頃の局面。ここまでの消費時間は▲増田４時間９分、△東４時間３６分。
手数 75: ２２時前の局面。消費時間は▲増田４時間２０分、△東４時間３６分。
千日手模様だが、先手は打開したいようで数分ずつ使って指されている。
手数 76: ５４分の長考で敢然と打開。東は残り３０分となった。
手数 106: ２３時頃の局面。消費時間は▲増田４時間３８分、△東５時間４２分。
手数 128: ２３時４０分頃の局面。消費時間は▲増田５時間７分、△東５時間５３分。
棋士室の見解は先手勝勢。
手数 133: この局面で東が投了した。消費時間は▲増田５時間１１分、△東５時間５３分。勝った増田は４勝２敗、敗れた東は２勝４敗となった。
